TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10210_cand000230,openmm,-352.21779738951113,AB,MP,P,M,MP_AB,M_P,-33.709182212627354,-33.709182212627354,1830.1651690777185,-55.500297352646015,-55.500297352646015,1722.0002813979809,-33.70918221281897,-53907.56638741718 kJ/mol
Non-binding_donor1_row10018_cand000128,openmm,365.5579451531628,AB,MP,P,M,MP_AB,M_P,-37.99405887790658,-37.99405887790658,2101.0954446626583,-54.85528257948867,-54.85528257948867,1511.0679561428458,-37.99405887809314,-48191.891206160755 kJ/mol
Non-binding_donor1_row10466_cand000354,openmm,302.9634803923291,AB,MP,P,M,MP_AB,M_P,-30.91968069195235,-30.91968069195235,1881.8861087479584,-61.230469885430324,-61.230469885430324,1677.0048322524697,-30.9196806917206,-41241.77553539694 kJ/mol
Non-binding_donor1_row10876_cand000532,openmm,-214.85570502144316,AB,MP,P,M,MP_AB,M_P,-37.72141861898683,-37.72141861898683,1718.4908819363357,-70.60717011668733,-70.60717011668733,1708.0088843559536,-37.72141861906471,-53460.701220206516 kJ/mol
Non-binding_donor1_row10885_cand000311,openmm,-245.00805487783077,AB,MP,P,M,MP_AB,M_P,-48.65715606876165,-48.65715606876165,2053.0951901348,-67.71389082421469,-67.71389082421469,1663.5898592847343,-48.65715606890794,-53217.514240491764 kJ/mol
Non-binding_donor1_row11121_cand000336,openmm,13304.796618606098,AB,MP,P,M,MP_AB,M_P,4090.5683097627516,4090.5683097627516,1781.2239493724678,78.43336636484037,78.43336636484037,1699.875502658301,4090.568309762748,6448230930065.789 kJ/mol
Non-binding_donor1_row11314_cand000530,openmm,-228.72207800496733,AB,MP,P,M,MP_AB,M_P,-46.90078072312943,-46.90078072312943,1900.7218028767281,-60.14673423433075,-60.14673423433075,1676.7245944307504,-46.90078072301324,-52558.22520195994 kJ/mol
Non-binding_donor1_row11736_cand000165,openmm,557.9423151851724,AB,MP,P,M,MP_AB,M_P,390.3654132063746,390.3654132063746,2209.2109356460546,-56.93789088377399,-56.93789088377399,1449.6827095252916,390.3654132063049,-42131.530997908805 kJ/mol
Non-binding_donor1_row12087_cand000435,openmm,-219.15312700184467,AB,MP,P,M,MP_AB,M_P,-39.778437359709756,-39.778437359709756,1896.4217692639284,-61.302888947090466,-61.302888947090466,1653.4948904052367,-39.778437359358065,-54223.5740012827 kJ/mol
Non-binding_donor1_row11954_cand000034,openmm,-263.48101842949484,AB,MP,P,M,MP_AB,M_P,-44.39730834920951,-44.39730834920951,1960.5522015983413,-65.01409334616153,-65.01409334616153,1704.5700970373339,-44.39730834920772,-51432.38505734821 kJ/mol
Non-binding_donor1_row12267_cand000237,openmm,-411.14699664692705,AB,MP,P,M,MP_AB,M_P,-29.254640526763865,-29.254640526763865,1629.019975407123,-66.92958481813191,-66.92958481813191,1702.0565281477443,-29.254640526798028,-54058.05080176009 kJ/mol
Non-binding_donor1_row12278_cand000441,openmm,-238.87918981877957,AB,MP,P,M,MP_AB,M_P,-40.960037940721776,-40.960037940721776,1754.6590840437905,-56.33424603385059,-56.33424603385059,1652.2976876225957,-40.960037940433324,-52121.865454322564 kJ/mol
Non-binding_donor1_row12761_cand000526,openmm,-287.81458380480774,AB,MP,P,M,MP_AB,M_P,-36.88724443796181,-36.88724443796181,1739.0901575825644,-54.961621262644826,-54.961621262644826,1719.4897998019126,-36.88724443739167,-52878.29016327466 kJ/mol
Non-binding_donor1_row12801_cand000559,openmm,-338.68123707086454,AB,MP,P,M,MP_AB,M_P,-40.97867489707579,-40.97867489707579,2014.9963358368639,-68.23091971767765,-68.23091971767765,1682.323727026432,-40.978674897352334,-51076.1753190618 kJ/mol
