TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10132_cand000265,rosetta_sidechain,1817.6415652378298,AB,MP,P,M,MP_AB,M_P,6.090373895724724,6.090373895724724,239.36808270070566,0.0,0.0,0.0,6.090373895868424
Non-binding_donor1_row10017_cand000412,rosetta_sidechain,17545.15779696346,AB,MP,P,M,MP_AB,M_P,0.0004801034156116657,0.0004801034156116657,0.0,16006.55768992043,16006.55768992043,1136.2290070912145,0.0004801033755938988
Non-binding_donor1_row10943_cand000291,rosetta_sidechain,10240.488795239533,AB,MP,P,M,MP_AB,M_P,9957.958660722335,9957.958660722335,2221.2335857777953,0.0,0.0,0.0,9957.958660721977
Non-binding_donor1_row10651_cand000192,rosetta_sidechain,39135.01084795026,AB,MP,P,M,MP_AB,M_P,35978.24874351664,35978.24874351664,2450.480752370791,234.5224110556416,234.5224110556416,171.17076171348543,35978.24874351647
Non-binding_donor1_row10989_cand000575,rosetta_sidechain,582.3616572013683,AB,MP,P,M,MP_AB,M_P,-0.3530880066723512,-0.3530880066723512,100.29452322185098,303.20904611828604,303.20904611828604,1222.1909950939526,-0.3530880063550512
Non-binding_donor1_row11076_cand000481,rosetta_sidechain,41188.62425421298,AB,MP,P,M,MP_AB,M_P,3324.4268474574856,3324.4268474574856,1005.6469088163701,16490.336704673493,16490.336704673493,1286.120318956421,3324.4268474575074
Non-binding_donor1_row1101_cand000072,rosetta_sidechain,1893.6316402940604,AB,MP,P,M,MP_AB,M_P,-4.76424909891648,-4.76424909891648,289.45531662089087,-37.01549581533985,-37.01549581533985,1740.107785377723,-4.764249098786877
Non-binding_donor1_row11031_cand000228,rosetta_sidechain,54977.768478545164,AB,MP,P,M,MP_AB,M_P,32159.59259867878,32159.59259867878,2022.5442410191708,20452.99621926828,20452.99621926828,1100.8531379220515,32159.592598678668
Non-binding_donor1_row11529_cand000375,rosetta_sidechain,196.92406367909805,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-4.689582056016661e-12
Non-binding_donor1_row11558_cand000535,rosetta_sidechain,358.8690654334914,AB,MP,P,M,MP_AB,M_P,205.76301263145385,205.76301263145385,167.2310183574304,0.0,0.0,0.0,205.7630126316123
Non-binding_donor1_row11437_cand000404,rosetta_sidechain,-123.4255258550248,AB,MP,P,M,MP_AB,M_P,-4.0488441388203285,-4.0488441388203285,507.40150733529833,-1.258089111362981,-1.258089111362981,606.0691509837237,-4.0488441388300345
Non-binding_donor1_row11588_cand000226,rosetta_sidechain,5826.454582398818,AB,MP,P,M,MP_AB,M_P,1027.5888682261184,1027.5888682261184,172.25787688393,-0.10834645016450395,-0.10834645016450395,21.38513147374161,1027.5888682258037
Non-binding_donor1_row11678_cand000202,rosetta_sidechain,23021.456413254844,AB,MP,P,M,MP_AB,M_P,-0.05672565070199198,-0.05672565070199198,31.983934244685862,10039.51415121867,10039.51415121867,1106.7426855482456,-0.05672565110944561
