TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10014_cand000408,openmm,406.78101339816703,AB,MP,P,M,MP_AB,M_P,-37.89235513882511,-37.89235513882511,2005.4687385906052,-55.31165338166936,-55.31165338166936,1832.287807485919,-37.892355138774064,-48949.22111574361 kJ/mol
Non-binding_donor1_row10011_cand000496,openmm,472.9405637400635,AB,MP,P,M,MP_AB,M_P,-49.05836717648566,-49.05836717648566,1986.5695377481218,-60.88290259112949,-60.88290259112949,1845.3471056231538,-49.058367176461104,-37791.10254276537 kJ/mol
Non-binding_donor1_row10064_cand000161,openmm,19651.557494031535,AB,MP,P,M,MP_AB,M_P,5679.739465680392,5679.739465680392,1732.4007139246537,2080.2078331729,2080.2078331729,1806.0877547560017,5679.739465680141,39577057531.14156 kJ/mol
Non-binding_donor1_row10032_cand000383,openmm,-46.21323929291509,AB,MP,P,M,MP_AB,M_P,-28.64066319733998,-28.64066319733998,1672.8433312401658,-68.9680224940159,-68.9680224940159,1886.1140951692364,-28.640663197591408,-46199.59346544709 kJ/mol
Non-binding_donor1_row10120_cand000419,openmm,-46.78376185908493,AB,MP,P,M,MP_AB,M_P,-38.65532387379825,-38.65532387379825,1848.3477842714476,-59.41265302624478,-59.41265302624478,1893.727958283231,-38.65532387406454,-56658.67934850624 kJ/mol
Non-binding_donor1_row10281_cand000389,openmm,-211.56542539731637,AB,MP,P,M,MP_AB,M_P,-56.43768853715764,-56.43768853715764,2274.59014718176,-60.49011340145215,-60.49011340145215,1951.793774831945,-56.437688537260414,-54246.149401280236 kJ/mol
Non-binding_donor1_row10495_cand000463,openmm,-307.28231730176327,AB,MP,P,M,MP_AB,M_P,-47.483843656796864,-47.483843656796864,1968.8993124376836,-54.193591759642445,-54.193591759642445,1846.564414598779,-47.48384365685678,-56284.253136342304 kJ/mol
Non-binding_donor1_row10397_cand000234,openmm,203.15343030332542,AB,MP,P,M,MP_AB,M_P,-55.94165321691733,-55.94165321691733,2668.813506364949,-43.55539114891075,-43.55539114891075,1672.2623150106865,-55.941653216749216,-58471.53910565364 kJ/mol
Non-binding_donor1_row1055_cand000193,openmm,-237.81855853582766,AB,MP,P,M,MP_AB,M_P,-37.80166119667592,-37.80166119667592,1656.8965759024682,-60.59370721842197,-60.59370721842197,1834.3134676438585,-37.80166119623658,-55158.58149054716 kJ/mol
Non-binding_donor1_row1068_cand000056,openmm,-369.95006357653045,AB,MP,P,M,MP_AB,M_P,-33.37222431145716,-33.37222431145716,1636.2635960091282,-66.46407581896464,-66.46407581896464,1967.3487852012681,-33.37222431156141,-53407.37637842533 kJ/mol
Non-binding_donor1_row10822_cand000456,openmm,-253.23909612008242,AB,MP,P,M,MP_AB,M_P,-37.725466165735696,-37.725466165735696,1969.0040709778973,-65.59722268639369,-65.59722268639369,1897.6234245754176,-37.72546616568616,-53596.19956948681 kJ/mol
Non-binding_donor1_row11106_cand000047,openmm,-205.6967590928735,AB,MP,P,M,MP_AB,M_P,-56.276833167650295,-56.276833167650295,1938.096128338557,-66.04635030663721,-66.04635030663721,1880.1778502892773,-56.276833167378356,-54994.676724449346 kJ/mol
Non-binding_donor1_row11107_cand000123,openmm,424.3755096291868,AB,MP,P,M,MP_AB,M_P,-45.06968777090418,-45.06968777090418,2005.4408210795918,-58.98801584169413,-58.98801584169413,1764.2619864295084,-45.0696877708383,-45413.04297053721 kJ/mol
Non-binding_donor1_row11166_cand000131,openmm,-355.70405317062574,AB,MP,P,M,MP_AB,M_P,-38.59757266729582,-38.59757266729582,1842.9929046868187,-60.169065790176475,-60.169065790176475,1895.4968843867123,-38.59757266685136,-52351.023058918545 kJ/mol
Non-binding_donor1_row11253_cand000470,openmm,86.154052792571,AB,MP,P,M,MP_AB,M_P,-24.312372966872175,-24.312372966872175,1549.4520360256515,-65.6829009756915,-65.6829009756915,1893.8351525273788,-24.31237296673889,-53665.93105010236 kJ/mol
Non-binding_donor1_row1181_cand000087,openmm,-370.0404820144286,AB,MP,P,M,MP_AB,M_P,-34.06735609879627,-34.06735609879627,1786.3990135020288,-65.57993162866858,-65.57993162866858,1880.6241503715596,-34.067356099088954,-53177.62123722413 kJ/mol
Non-binding_donor1_row11870_cand000353,openmm,3013.7601345514645,AB,MP,P,M,MP_AB,M_P,-25.28716208486003,-25.28716208486003,1640.4767820383481,-39.2153130813831,-39.2153130813831,1640.9324913845526,-25.287162084415286,-30785.6310901471 kJ/mol
Non-binding_donor1_row12035_cand000427,openmm,-159.98652787674212,AB,MP,P,M,MP_AB,M_P,-57.874092542887595,-57.874092542887595,2370.7718369278705,-58.48639756289853,-58.48639756289853,1861.4527634929723,-57.874092542994504,-53403.86919732952 kJ/mol
Non-binding_donor1_row1217_cand000412,openmm,137.57196796048464,AB,MP,P,M,MP_AB,M_P,-31.362952679364184,-31.362952679364184,1819.7227012656394,-63.29152829964318,-63.29152829964318,1833.3578882428635,-31.362952679725566,-40503.511513699385 kJ/mol
Non-binding_donor1_row1219_cand000413,openmm,-265.868300929764,AB,MP,P,M,MP_AB,M_P,-32.60883473040508,-32.60883473040508,1749.9248745692464,-65.84821887882433,-65.84821887882433,1921.3165716949775,-32.608834730092724,-50581.30540258146 kJ/mol
