TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row1001_cand000240,openmm,-203.6748813374252,AB,MP,P,M,MP_AB,M_P,-37.07539718837424,-37.07539718837424,1926.2353671912126,-55.354895463215954,-55.354895463215954,1756.642352093454,-37.07539718874901,-56916.259463282 kJ/mol
Non-binding_donor1_row10082_cand000242,openmm,21.069049714172394,AB,MP,P,M,MP_AB,M_P,-61.11446282523573,-61.11446282523573,2240.193570620363,-48.02302076647801,-48.02302076647801,1717.6729585926998,-61.11446282539649,-57726.59212840966 kJ/mol
Non-binding_donor1_row10238_cand000351,openmm,-57.320118970401026,AB,MP,P,M,MP_AB,M_P,-54.348988168659425,-54.348988168659425,2238.0205658884593,-58.019687611256245,-58.019687611256245,1803.059647288886,-54.348988168851875,-46829.203459923614 kJ/mol
Non-binding_donor1_row10376_cand000488,openmm,-197.35749989452708,AB,MP,P,M,MP_AB,M_P,-52.043516407774064,-52.043516407774064,2582.3341174447114,-61.08996483864765,-61.08996483864765,1830.1050832093365,-52.043516407309966,-56912.18243345723 kJ/mol
Non-binding_donor1_row1061_cand000350,openmm,-229.50500237478178,AB,MP,P,M,MP_AB,M_P,-53.94008841926109,-53.94008841926109,2187.3958481288505,-57.03242063346248,-57.03242063346248,1785.4986020194342,-53.94008841927638,-55399.60746470025 kJ/mol
Non-binding_donor1_row10685_cand000245,openmm,-291.0013569889739,AB,MP,P,M,MP_AB,M_P,-54.66481262576849,-54.66481262576849,2282.9185868766153,-48.00971846225278,-48.00971846225278,1783.3487752599976,-54.664812625257184,-56060.472102415086 kJ/mol
Non-binding_donor1_row11016_cand000114,openmm,1055.965798342824,AB,MP,P,M,MP_AB,M_P,379.22362934528746,379.22362934528746,2424.084749586497,-58.39979608478305,-58.39979608478305,1793.1351311426474,379.22362934531486,-30769.35532482141 kJ/mol
Non-binding_donor1_row110_cand000018,openmm,261.7321135778842,AB,MP,P,M,MP_AB,M_P,274.40081578241666,274.40081578241666,2279.5863887546693,-59.36784347216485,-59.36784347216485,1783.7061178495603,274.4008157826267,-51744.10882444704 kJ/mol
Non-binding_donor1_row11683_cand000280,openmm,-200.44885562669734,AB,MP,P,M,MP_AB,M_P,-57.585649291430116,-57.585649291430116,2269.240557884019,-49.703767667952306,-49.703767667952306,1752.7550772132233,-57.58564929123426,-54741.47201962668 kJ/mol
Non-binding_donor1_row11207_cand000337,openmm,-175.58706160640995,AB,MP,P,M,MP_AB,M_P,-42.66671463467273,-42.66671463467273,2273.0878143037557,-56.48159355337015,-56.48159355337015,1802.0940768475502,-42.66671463443825,-54395.156208272354 kJ/mol
Non-binding_donor1_row11723_cand000287,openmm,-295.2712344948714,AB,MP,P,M,MP_AB,M_P,-38.123193350576514,-38.123193350576514,1795.1361007094374,-62.91066298305297,-62.91066298305297,1761.3796488615194,-38.12319335075989,-56995.40859277862 kJ/mol
Non-binding_donor1_row11702_cand000487,openmm,-360.1795539124568,AB,MP,P,M,MP_AB,M_P,-41.742089723663014,-41.742089723663014,2167.2964890795233,-51.912607542070816,-51.912607542070816,1794.930237184909,-41.74208972344394,-55878.10435964084 kJ/mol
Non-binding_donor1_row11728_cand000220,openmm,-185.7106680722237,AB,MP,P,M,MP_AB,M_P,-49.94603430627646,-49.94603430627646,2274.7425726030997,-55.99882426323073,-55.99882426323073,1842.8839030572674,-49.94603430600779,-55263.610976648895 kJ/mol
Non-binding_donor1_row11843_cand000395,openmm,-154.89544421037877,AB,MP,P,M,MP_AB,M_P,-60.950588593792574,-60.950588593792574,2336.5428740308166,-55.51055220937494,-55.51055220937494,1718.3005479636417,-60.950588594365726,-53250.702082910095 kJ/mol
Non-binding_donor1_row11958_cand000347,openmm,-203.20499105319658,AB,MP,P,M,MP_AB,M_P,-45.38388798909892,-45.38388798909892,2296.2393120647425,-56.73289566181186,-56.73289566181186,1791.04252791162,-45.38388798910552,-59920.35643852532 kJ/mol
Non-binding_donor1_row12111_cand000383,openmm,109.52329147179691,AB,MP,P,M,MP_AB,M_P,276.0475766414602,276.0475766414602,2633.14132683091,-55.781778161899204,-55.781778161899204,1705.8961051187728,276.04757664159104,-45950.15501572055 kJ/mol
Non-binding_donor1_row12127_cand000453,openmm,-361.86089211245906,AB,MP,P,M,MP_AB,M_P,-45.30290534174213,-45.30290534174213,2280.727337636265,-61.361740658838855,-61.361740658838855,1792.849773688456,-45.302905341698875,-56017.21548814685 kJ/mol
Non-binding_donor1_row12173_cand000090,openmm,-324.54262192382225,AB,MP,P,M,MP_AB,M_P,-52.58112153908985,-52.58112153908985,2247.9935711598278,-57.96606346200373,-57.96606346200373,1780.0339994024966,-52.58112153955727,-56288.620546373786 kJ/mol
Non-binding_donor1_row12182_cand000093,openmm,-262.77443617232393,AB,MP,P,M,MP_AB,M_P,-40.59799304401281,-40.59799304401281,2271.143393404732,-64.01458598127074,-64.01458598127074,1844.7324239316586,-40.597993044255986,-55739.29468407419 kJ/mol
Non-binding_donor1_row12382_cand000015,openmm,-389.83693828561536,AB,MP,P,M,MP_AB,M_P,-50.0449695239505,-50.0449695239505,2227.141455482625,-61.19198951062752,-61.19198951062752,1805.7481834967339,-50.04496952424779,-58358.18010990509 kJ/mol
Non-binding_donor1_row12472_cand000267,openmm,-256.06602277024206,AB,MP,P,M,MP_AB,M_P,-41.92017824889456,-41.92017824889456,2088.502211491856,-64.82612185381043,-64.82612185381043,1786.5130571938632,-41.92017824901964,-57393.403228500945 kJ/mol
Non-binding_donor1_row12474_cand000443,openmm,-67.14538120462021,AB,MP,P,M,MP_AB,M_P,-59.490797846221994,-59.490797846221994,2754.2949470469707,-58.28270828811573,-58.28270828811573,1836.3984689963665,-59.49079784610673,-58643.04221505805 kJ/mol
Non-binding_donor1_row12477_cand000389,openmm,594.1632342410574,AB,MP,P,M,MP_AB,M_P,258.48367619781897,258.48367619781897,2705.5778664027707,-50.50087780580898,-50.50087780580898,1734.629406295223,258.48367619795374,-39128.831908268345 kJ/mol
Non-binding_donor1_row12631_cand000078,openmm,-171.56543568966703,AB,MP,P,M,MP_AB,M_P,-40.95669185301176,-40.95669185301176,1850.1306885229822,-66.3872592692945,-66.3872592692945,1854.0592307437494,-40.95669185308637,-55960.423091166645 kJ/mol
Non-binding_donor1_row12667_cand000538,openmm,-337.17543969602076,AB,MP,P,M,MP_AB,M_P,-54.613679542443776,-54.613679542443776,2124.3348992609267,-56.913354628256315,-56.913354628256315,1772.3713446396355,-54.613679542622606,-55768.9165618537 kJ/mol
Non-binding_donor1_row12641_cand000054,openmm,-262.67720271048057,AB,MP,P,M,MP_AB,M_P,-48.370611897715975,-48.370611897715975,2421.493571722836,-52.88412988171384,-52.88412988171384,1810.492011674711,-48.37061189795605,-55751.42984099305 kJ/mol
Non-binding_donor1_row12780_cand000128,openmm,-361.97604422423854,AB,MP,P,M,MP_AB,M_P,-50.73652058204698,-50.73652058204698,2076.0586112155916,-64.18367993635195,-64.18367993635195,1833.925089221686,-50.73652058162594,-52277.297131311214 kJ/mol
Non-binding_donor1_row12872_cand000126,openmm,-380.57728041637023,AB,MP,P,M,MP_AB,M_P,-54.92014630044599,-54.92014630044599,2343.5592682782494,-56.4543212383951,-56.4543212383951,1763.1601406801776,-54.92014630079933,-55510.23537300613 kJ/mol
Non-binding_donor1_row12983_cand000445,openmm,-261.32159358856484,AB,MP,P,M,MP_AB,M_P,-53.11381563379251,-53.11381563379251,2212.9031215010073,-54.9299151709634,-54.9299151709634,1767.6579084616988,-53.11381563354999,-55919.827107521836 kJ/mol
Non-binding_donor1_row12959_cand000353,openmm,-435.3149735846195,AB,MP,P,M,MP_AB,M_P,-44.3661408326999,-44.3661408326999,2035.7224232280334,-62.311386566484416,-62.311386566484416,1793.3949292195714,-44.36614083288356,-55254.21185198518 kJ/mol
Non-binding_donor1_row13633_cand000485,openmm,-267.6523586247598,AB,MP,P,M,MP_AB,M_P,-49.09710474553563,-49.09710474553563,2102.4246719069392,-54.579818374284116,-54.579818374284116,1779.7660486987113,-49.09710474519332,-53818.17148791217 kJ/mol
Non-binding_donor1_row13768_cand000517,openmm,-235.6435209757031,AB,MP,P,M,MP_AB,M_P,-36.79919164693206,-36.79919164693206,2332.3853213411307,-61.16971746278661,-61.16971746278661,1766.3390988937977,-36.7991916473423,-53722.516564681755 kJ/mol
Non-binding_donor1_row13917_cand000112,openmm,4879.003682813859,AB,MP,P,M,MP_AB,M_P,-33.1054587963763,-33.1054587963763,1893.8010526723044,-19.112902627893163,-19.112902627893163,1165.7942485444482,-33.10545879649726,9240.247555677555 kJ/mol
Non-binding_donor1_row13976_cand000364,openmm,-251.42038564572502,AB,MP,P,M,MP_AB,M_P,-35.30632549448694,-35.30632549448694,1877.303207684035,-60.46141531949162,-60.46141531949162,1810.7492189073225,-35.30632549427165,-54051.59941326563 kJ/mol
Non-binding_donor1_row14023_cand000253,openmm,-232.04778803908277,AB,MP,P,M,MP_AB,M_P,-55.487684986358914,-55.487684986358914,2352.547962150625,-56.451681561442186,-56.451681561442186,1771.415819537772,-55.48768498607245,-54733.23895287448 kJ/mol
Non-binding_donor1_row14088_cand000457,openmm,-221.0100431889192,AB,MP,P,M,MP_AB,M_P,-57.669800928153336,-57.669800928153336,2265.450199197897,-60.341618892967986,-60.341618892967986,1719.5440911771775,-57.66980092762225,-54147.036493610525 kJ/mol
Non-binding_donor1_row14094_cand000542,openmm,240.60802085762876,AB,MP,P,M,MP_AB,M_P,321.7748825788078,321.7748825788078,2044.9939535234598,-51.02985287444782,-51.02985287444782,1813.5761791174007,321.7748825787967,-47942.97799631144 kJ/mol
Non-binding_donor1_row14259_cand000002,openmm,-236.62509316251288,AB,MP,P,M,MP_AB,M_P,-36.03895485162465,-36.03895485162465,1922.7841453713002,-59.48146447107351,-59.48146447107351,1847.0789454192857,-36.03895485161351,-51673.531556075126 kJ/mol
Non-binding_donor1_row14272_cand000348,openmm,-125.63478149350061,AB,MP,P,M,MP_AB,M_P,-33.10078600757326,-33.10078600757326,1576.3647493527608,-55.009652798951734,-55.009652798951734,1878.4819720327564,-33.10078600731876,-53982.28955905799 kJ/mol
Non-binding_donor1_row14300_cand000150,openmm,-92.15438121036652,AB,MP,P,M,MP_AB,M_P,-38.56468280406178,-38.56468280406178,1800.3066657680358,-50.01564705801576,-50.01564705801576,1818.7037159921747,-38.564682804175504,-52857.07371374156 kJ/mol
Non-binding_donor1_row14429_cand000144,openmm,-123.22141633441481,AB,MP,P,M,MP_AB,M_P,-37.52809625033342,-37.52809625033342,1760.0652840654461,-64.83068323388606,-64.83068323388606,1832.545006961511,-37.52809625041938,-55183.5821819951 kJ/mol
Non-binding_donor1_row14608_cand000479,openmm,54.51205694607464,AB,MP,P,M,MP_AB,M_P,-40.29107052684761,-40.29107052684761,1578.9218506324062,-61.10303507565582,-61.10303507565582,1850.2295207007585,-40.291070526791486,-56047.86286340988 kJ/mol
Non-binding_donor1_row14852_cand000290,openmm,167.93794183273644,AB,MP,P,M,MP_AB,M_P,324.375585531428,324.375585531428,1846.786117955895,-51.536573446027575,-51.536573446027575,1868.1786341116276,324.37558553173733,-49663.99816520982 kJ/mol
Non-binding_donor1_row14882_cand000022,openmm,-245.86135309043465,AB,MP,P,M,MP_AB,M_P,-50.70591537447143,-50.70591537447143,2101.0736474395558,-56.90045644846421,-56.90045644846421,1856.5720704735631,-50.70591537443897,-55543.96641082481 kJ/mol
