TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10014_cand000128,openmm,433.9987989392198,AB,MP,P,M,MP_AB,M_P,-41.14092429293612,-41.14092429293612,2043.6275313735637,-57.48222160681155,-57.48222160681155,1831.0301697690447,-41.14092429314098,-48670.787663379415 kJ/mol
Non-binding_donor1_row10205_cand000232,openmm,-368.77835934613074,AB,MP,P,M,MP_AB,M_P,-44.28148360710895,-44.28148360710895,2036.8439097492142,-63.38387850813211,-63.38387850813211,1916.6836068310872,-44.281483607136806,-54745.475160122594 kJ/mol
Non-binding_donor1_row10871_cand000534,openmm,-212.99115223686022,AB,MP,P,M,MP_AB,M_P,-36.79505834074138,-36.79505834074138,1649.3403086537894,-67.74635751089954,-67.74635751089954,2025.2349259212538,-36.79505834066413,-54289.23666362359 kJ/mol
Non-binding_donor1_row10461_cand000348,openmm,397.69692225926997,AB,MP,P,M,MP_AB,M_P,-39.594587462921595,-39.594587462921595,2075.8895702597715,-65.47645748525339,-65.47645748525339,1806.34111450724,-39.59458746285924,-41640.20062625066 kJ/mol
Non-binding_donor1_row11116_cand000340,openmm,-299.9493711343182,AB,MP,P,M,MP_AB,M_P,-45.00774922781483,-45.00774922781483,2060.663100668844,-58.43673913570522,-58.43673913570522,1878.0930738903176,-45.00774922816109,-54543.36210672745 kJ/mol
Non-binding_donor1_row10880_cand000310,openmm,-178.82195070242278,AB,MP,P,M,MP_AB,M_P,-56.12190092714364,-56.12190092714364,2115.8376901059123,-60.08189688014652,-60.08189688014652,1875.9275624386698,-56.121900927388495,-54122.6620752436 kJ/mol
Non-binding_donor1_row11309_cand000518,openmm,-145.13473823013675,AB,MP,P,M,MP_AB,M_P,-40.50201184605015,-40.50201184605015,1958.4231403784934,-59.23331081596116,-59.23331081596116,1940.9123528344799,-40.502011846220626,-53283.708351529756 kJ/mol
Non-binding_donor1_row11731_cand000164,openmm,-20.018923947945694,AB,MP,P,M,MP_AB,M_P,-60.182228185781945,-60.182228185781945,2303.9112830073004,-61.85239521669703,-61.85239521669703,1701.213534119031,-60.182228185920415,-55354.004936779886 kJ/mol
Non-binding_donor1_row11949_cand000034,openmm,-116.39780751090497,AB,MP,P,M,MP_AB,M_P,-56.81391290704583,-56.81391290704583,2166.94660874214,-56.20715228401171,-56.20715228401171,1817.4880282334998,-56.81391290688923,-52086.4600698293 kJ/mol
Non-binding_donor1_row12043_cand000560,openmm,-350.7488835018018,AB,MP,P,M,MP_AB,M_P,-42.07040168076759,-42.07040168076759,1921.1145246237481,-62.45532755951763,-62.45532755951763,1902.2648445899067,-42.070401680742236,-56397.481470545696 kJ/mol
Non-binding_donor1_row12262_cand000237,openmm,-402.99478487615454,AB,MP,P,M,MP_AB,M_P,-43.10499408390166,-43.10499408390166,1755.5957052905994,-59.001925030046664,-59.001925030046664,1862.8027562768423,-43.10499408336415,-54493.731125569 kJ/mol
Non-binding_donor1_row12082_cand000471,openmm,206.9856661101486,AB,MP,P,M,MP_AB,M_P,371.02845574795856,371.02845574795856,1952.5502005297594,-56.78667059738605,-56.78667059738605,1957.6217937842423,371.0284557478498,-46051.79239352024 kJ/mol
Non-binding_donor1_row12273_cand000441,openmm,-264.30353369277594,AB,MP,P,M,MP_AB,M_P,-38.19192067316965,-38.19192067316965,1866.7568190897825,-57.93435124362313,-57.93435124362313,1751.921570018622,-38.19192067353538,-51564.251053629145 kJ/mol
Non-binding_donor1_row12756_cand000528,openmm,-132.9029815096938,AB,MP,P,M,MP_AB,M_P,-37.891590749104324,-37.891590749104324,1868.6772708004123,-63.66530378128456,-63.66530378128456,1981.721168226459,-37.89159074902744,-53571.91993284112 kJ/mol
Non-binding_donor1_row12799_cand000426,openmm,-252.53246418433815,AB,MP,P,M,MP_AB,M_P,-44.86582487312566,-44.86582487312566,2000.7716386944678,-63.06659045610094,-63.06659045610094,1874.9401016900047,-44.8658248733112,-52654.560974825996 kJ/mol
Non-binding_donor1_row12796_cand000554,openmm,-297.36074739419195,AB,MP,P,M,MP_AB,M_P,-52.97475197235448,-52.97475197235448,2062.220477352945,-60.696681120247234,-60.696681120247234,1949.8506415980582,-52.97475197253871,-52300.88621410575 kJ/mol
Non-binding_donor1_row13617_cand000275,openmm,-338.70461206789054,AB,MP,P,M,MP_AB,M_P,-35.652033343002586,-35.652033343002586,1784.644608537924,-59.909533592305046,-59.909533592305046,1843.057280186651,-35.65203334293159,-52185.592120707865 kJ/mol
Non-binding_donor1_row14539_cand000452,openmm,-69.90004613495832,AB,MP,P,M,MP_AB,M_P,-36.49201851247935,-36.49201851247935,1641.0362570263483,-59.175981776767536,-59.175981776767536,1982.0912012989384,-36.49201851263467,-53230.12368582019 kJ/mol
Non-binding_donor1_row14990_cand000357,openmm,12.20975575710358,AB,MP,P,M,MP_AB,M_P,-35.14686213802304,-35.14686213802304,1455.0446402400985,-59.728795251914356,-59.728795251914356,1858.5547489897906,-35.14686213815477,-45765.84028323987 kJ/mol
Non-binding_donor1_row15196_cand000204,openmm,-376.0538007998051,AB,MP,P,M,MP_AB,M_P,-33.296590150387885,-33.296590150387885,1668.298168073179,-67.43848035640616,-67.43848035640616,1881.2710469625376,-33.29659015028034,-54054.02584631213 kJ/mol
Non-binding_donor1_row15208_cand000240,openmm,-139.64429357047004,AB,MP,P,M,MP_AB,M_P,-42.10362875672607,-42.10362875672607,1730.8546237030475,-65.8959818329294,-65.8959818329294,1846.3372192722823,-42.10362875644991,-47596.5125145582 kJ/mol
Non-binding_donor1_row15213_cand000345,openmm,-120.08368209996787,AB,MP,P,M,MP_AB,M_P,-41.85715572438754,-41.85715572438754,1716.1096788172172,-60.7580691715749,-60.7580691715749,1881.4561294334383,-41.85715572443276,-47585.56315524232 kJ/mol
Non-binding_donor1_row15328_cand000351,openmm,-61.515182395899416,AB,MP,P,M,MP_AB,M_P,-22.43930953728964,-22.43930953728964,1236.8081663644991,-59.12633867551155,-59.12633867551155,1865.7229868821473,-22.43930953722537,-47397.77579861648 kJ/mol
Non-binding_donor1_row15331_cand000110,openmm,-68.18563027952125,AB,MP,P,M,MP_AB,M_P,-20.266421945445053,-20.266421945445053,1163.0027689388085,-62.540353094921485,-62.540353094921485,1868.877526000277,-20.26642194548735,-47639.98027253212 kJ/mol
Non-binding_donor1_row1635_cand000082,openmm,-322.1702446941272,AB,MP,P,M,MP_AB,M_P,-33.62630234042825,-33.62630234042825,1770.890242722355,-61.75460209335955,-61.75460209335955,1778.930105800176,-33.62630234052659,-53337.14481405815 kJ/mol
Non-binding_donor1_row17019_cand000569,openmm,-233.22307778465742,AB,MP,P,M,MP_AB,M_P,-41.36479023193769,-41.36479023193769,1781.6331166052876,-61.37025178041711,-61.37025178041711,1945.7233878241875,-41.3647902320088,-51461.17365694681 kJ/mol
Non-binding_donor1_row17432_cand000392,openmm,-260.59965081720657,AB,MP,P,M,MP_AB,M_P,-45.253446128110994,-45.253446128110994,1961.1227458523083,-63.221556568765706,-63.221556568765706,1901.2998016258564,-45.25344612803619,-53963.4712001367 kJ/mol
Non-binding_donor1_row1755_cand000259,openmm,-358.893009222379,AB,MP,P,M,MP_AB,M_P,-34.05367564002603,-34.05367564002603,1880.0668318348128,-59.15742625881289,-59.15742625881289,1903.9995389689918,-34.053675639828555,-55245.47072651718 kJ/mol
Non-binding_donor1_row17713_cand000024,openmm,149.90329054795941,AB,MP,P,M,MP_AB,M_P,-44.06115424903126,-44.06115424903126,1780.679670384489,-58.035720042423186,-58.035720042423186,1919.61700885448,-44.0611542496392,-45615.686642641216 kJ/mol
Non-binding_donor1_row17794_cand000168,openmm,-72.34708807836668,AB,MP,P,M,MP_AB,M_P,-44.85605242099402,-44.85605242099402,2113.243634388239,-64.8004890600235,-64.8004890600235,1878.439897962255,-44.856052420602865,-52796.291989634425 kJ/mol
Non-binding_donor1_row18208_cand000006,openmm,-322.4445774862987,AB,MP,P,M,MP_AB,M_P,-44.88966360692717,-44.88966360692717,1829.5376029778333,-65.47693882005876,-65.47693882005876,1886.3633902425722,-44.8896636067567,-50102.47459082955 kJ/mol
Non-binding_donor1_row18261_cand000497,openmm,-312.55093720398133,AB,MP,P,M,MP_AB,M_P,-42.2370165383482,-42.2370165383482,1858.7093618904605,-61.2827613233423,-61.2827613233423,1908.5020850741546,-42.2370165381152,-50093.548860200084 kJ/mol
Non-binding_donor1_row18829_cand000241,openmm,-342.37731018927286,AB,MP,P,M,MP_AB,M_P,-58.32970738201465,-58.32970738201465,2136.0754964285247,-67.56528686815298,-67.56528686815298,1788.128634790755,-58.3297073822373,-54782.07761390732 kJ/mol
Non-binding_donor1_row18834_cand000515,openmm,-296.90367689310494,AB,MP,P,M,MP_AB,M_P,-45.24408719068916,-45.24408719068916,2007.3867856253767,-61.190482384492896,-61.190482384492896,1824.952747145147,-45.24408719069709,-54649.425672803576 kJ/mol
Non-binding_donor1_row18842_cand000203,openmm,-331.5415140705203,AB,MP,P,M,MP_AB,M_P,-52.499706522321446,-52.499706522321446,2101.6964740008943,-56.197074296533856,-56.197074296533856,1816.6328867131922,-52.49970652263556,-54164.60843720086 kJ/mol
Non-binding_donor1_row18862_cand000454,openmm,-351.3398405255963,AB,MP,P,M,MP_AB,M_P,-47.62238850385796,-47.62238850385796,2076.761017033802,-60.88792806221784,-60.88792806221784,1865.5553887318426,-47.62238850421295,-54669.51143629996 kJ/mol
Non-binding_donor1_row18866_cand000220,openmm,-374.89687581696705,AB,MP,P,M,MP_AB,M_P,-40.85565132220222,-40.85565132220222,1956.7258038024204,-60.565559704534934,-60.565559704534934,1847.3791342936097,-40.85565132203004,-54517.24960504248 kJ/mol
Non-binding_donor1_row1959_cand000575,openmm,-129.38597088558888,AB,MP,P,M,MP_AB,M_P,-38.55344459743554,-38.55344459743554,1774.6574932491808,-64.92058809933866,-64.92058809933866,1984.8210591464544,-38.55344459726368,-54247.86425828808 kJ/mol
Non-binding_donor1_row1964_cand000238,openmm,-323.55838871967455,AB,MP,P,M,MP_AB,M_P,-38.31723193176339,-38.31723193176339,1786.7362654126462,-62.23282399503394,-62.23282399503394,1886.0549246290843,-38.31723193157063,-56007.90367879016 kJ/mol
Non-binding_donor1_row19661_cand000057,openmm,-207.46416338068525,AB,MP,P,M,MP_AB,M_P,-42.37007782499168,-42.37007782499168,2046.8374633636422,-68.04298541375691,-68.04298541375691,1856.3235666161543,-42.37007782477693,-55808.11765443157 kJ/mol
