TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row0_cand000001,openmm,150.59664288789955,AB,MP,P,M,MP_AB,M_P,-37.41796776128908,-37.41796776128908,1913.9550831908214,-58.56023089753972,-58.56023089753972,1967.4120824754737,-37.417967761302776,-57728.834047309574 kJ/mol
Binding_donor1_row1_cand000011,openmm,26925.782036937777,AB,MP,P,M,MP_AB,M_P,8644.015702466277,8644.015702466277,2063.23792673667,4898.719006906006,4898.719006906006,1982.57789993564,8644.015702466295,1.0678677898119596e+16 kJ/mol
Binding_donor1_row2_cand000018,openmm,-231.55088471532605,AB,MP,P,M,MP_AB,M_P,-51.97030420731289,-51.97030420731289,2133.398820702572,-63.091370884509764,-63.091370884509764,1931.419514789902,-51.97030420720975,-55271.00310680623 kJ/mol
Binding_donor1_row3_cand000025,openmm,-115.3148364402866,AB,MP,P,M,MP_AB,M_P,-31.95805492787396,-31.95805492787396,1743.9072275329745,-57.17655957852352,-57.17655957852352,1890.8551696055051,-31.95805492757843,-55547.13680689954 kJ/mol
Binding_donor1_row4_cand000026,openmm,-165.22344109812656,AB,MP,P,M,MP_AB,M_P,-34.04158285191957,-34.04158285191957,1790.03744321602,-52.18730582543976,-52.18730582543976,1845.2349934290248,-34.04158285147895,-51212.8342565453 kJ/mol
Binding_donor1_row5_cand000017,openmm,17513.019563633006,AB,MP,P,M,MP_AB,M_P,5528.148040803817,5528.148040803817,1801.23438195715,4375.363485171743,4375.363485171743,1856.4303031961877,5528.148040803715,552785856291423.06 kJ/mol
Binding_donor1_row6_cand000019,openmm,-186.41333231791228,AB,MP,P,M,MP_AB,M_P,-30.589807333445748,-30.589807333445748,1656.555460996439,-55.66949355076963,-55.66949355076963,1871.6237046155538,-30.58980733383899,-51759.420095491114 kJ/mol
Binding_donor2_row8_cand000014,openmm,-185.07660773143112,AB,MP,P,M,MP_AB,M_P,-50.66608644441936,-50.66608644441936,2256.5221496992635,-56.34591128583578,-56.34591128583578,1979.7447884095761,-50.666086444830825,-55949.72343987644 kJ/mol
Binding_donor3_row10_cand000023,openmm,-203.68447666303757,AB,MP,P,M,MP_AB,M_P,-33.610429960985755,-33.610429960985755,1808.0680906525217,-59.21545425485642,-59.21545425485642,1946.645782698338,-33.61042996072982,-53205.78646985961 kJ/mol
Binding_donor3_row11_cand000002,openmm,581.6566481876813,AB,MP,P,M,MP_AB,M_P,-32.70483150602172,-32.70483150602172,1955.357566510102,656.2833365248152,656.2833365248152,1869.738702481287,-32.704831506379946,-39355.42032786092 kJ/mol
