TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10210_cand000234,openmm,-322.15399241365196,AB,MP,P,M,MP_AB,M_P,-43.8597177770867,-43.8597177770867,2226.364411628581,-62.18208937565092,-62.18208937565092,2151.126959916101,-43.859717777111996,-58228.69294537362 kJ/mol
Non-binding_donor1_row10018_cand000128,openmm,435.01072697312867,AB,MP,P,M,MP_AB,M_P,-59.85021641216201,-59.85021641216201,2344.308844528377,-63.34379136311924,-63.34379136311924,2089.466183987299,-59.85021641172949,-52885.080171529604 kJ/mol
Non-binding_donor1_row10876_cand000526,openmm,-300.303571403196,AB,MP,P,M,MP_AB,M_P,-57.513925023010756,-57.513925023010756,2096.530896705446,-79.33537698563504,-79.33537698563504,2053.6618326082616,-57.51392502309233,-58197.31745278186 kJ/mol
Non-binding_donor1_row10466_cand000348,openmm,324.8087079154141,AB,MP,P,M,MP_AB,M_P,-47.91184369169463,-47.91184369169463,2124.147505198394,-82.36467058345472,-82.36467058345472,2103.074826445855,-47.91184369145532,-45370.45197637406 kJ/mol
Non-binding_donor1_row10885_cand000308,openmm,-170.8405873425485,AB,MP,P,M,MP_AB,M_P,-61.355498768117556,-61.355498768117556,2342.524598312573,-64.45788015695746,-64.45788015695746,2117.662334876137,-61.35549876787218,-57192.8967281976 kJ/mol
Non-binding_donor1_row11121_cand000343,openmm,-178.95157749724902,AB,MP,P,M,MP_AB,M_P,-51.0246682127857,-51.0246682127857,1968.9561558721662,-64.55787227042671,-64.55787227042671,2214.1271015128837,-51.02466821297601,-57825.870071589154 kJ/mol
Non-binding_donor1_row11314_cand000527,openmm,-246.5039849106012,AB,MP,P,M,MP_AB,M_P,-46.41986004083162,-46.41986004083162,2135.329907286112,-72.6720249429354,-72.6720249429354,2144.7421731753984,-46.419860041051464,-57123.355519828765 kJ/mol
Non-binding_donor1_row11736_cand000161,openmm,-143.6125393395631,AB,MP,P,M,MP_AB,M_P,-51.03339408251563,-51.03339408251563,2436.659877875192,-60.30882203211972,-60.30882203211972,2143.583639131962,-51.033394081920804,-58834.789936417204 kJ/mol
Non-binding_donor1_row11954_cand000034,openmm,98.15577240271418,AB,MP,P,M,MP_AB,M_P,-43.00486536903088,-43.00486536903088,2193.368775951174,-76.34833922579539,-76.34833922579539,2148.971928196984,-43.00486536928608,-47148.17655176342 kJ/mol
Non-binding_donor1_row12048_cand000574,openmm,-361.43499045299944,AB,MP,P,M,MP_AB,M_P,-41.15339051605008,-41.15339051605008,2101.3762642607944,-70.40577113626276,-70.40577113626276,2112.0592772288933,-41.153390515941226,-60420.24091662656 kJ/mol
Non-binding_donor1_row12267_cand000236,openmm,-351.6204216035445,AB,MP,P,M,MP_AB,M_P,-43.53308607691349,-43.53308607691349,1998.249156990165,-79.65553048063174,-79.65553048063174,2137.9691166107887,-43.53308607629924,-58971.009733159495 kJ/mol
Non-binding_donor1_row12087_cand000441,openmm,138.44572105976067,AB,MP,P,M,MP_AB,M_P,284.51262460962545,284.51262460962545,2236.571205692508,-64.1766772780839,-64.1766772780839,2127.524593188701,284.51262460947413,-51173.998706105805 kJ/mol
Non-binding_donor1_row12761_cand000536,openmm,-268.12368440119445,AB,MP,P,M,MP_AB,M_P,-44.00030724489571,-44.00030724489571,2081.6086884237643,-67.01906923011983,-67.01906923011983,2156.855588185261,-44.00030724527193,-57031.98970890581 kJ/mol
Non-binding_donor1_row12278_cand000450,openmm,-235.2741181565104,AB,MP,P,M,MP_AB,M_P,-56.947651816418585,-56.947651816418585,2252.3966334976258,-71.03857046500708,-71.03857046500708,2106.4666372580296,-56.94765181620343,-56221.34990200958 kJ/mol
Non-binding_donor1_row12801_cand000549,openmm,-173.6717049043507,AB,MP,P,M,MP_AB,M_P,-43.50021254928234,-43.50021254928234,2232.5967186488106,-60.526864634117416,-60.526864634117416,2150.2270991818477,-43.50021254960623,-55375.38891896369 kJ/mol
Non-binding_donor1_row12804_cand000424,openmm,-223.98652010010682,AB,MP,P,M,MP_AB,M_P,-53.0055445342731,-53.0055445342731,2294.2111308756616,-57.66864475255215,-57.66864475255215,2128.912192000188,-53.00554453421083,-56008.32729483259 kJ/mol
Non-binding_donor1_row13622_cand000276,openmm,-282.0547893685176,AB,MP,P,M,MP_AB,M_P,-37.723756336910185,-37.723756336910185,2161.705710793194,-77.19199242097991,-77.19199242097991,2041.35762596159,-37.72375633697058,-56136.38175583245 kJ/mol
Non-binding_donor1_row13933_cand000578,openmm,-225.07328475870315,AB,MP,P,M,MP_AB,M_P,-28.75747205722584,-28.75747205722584,1904.1692160003615,-72.94932545776702,-72.94932545776702,2123.5185583491457,-28.75747205743528,-56089.14549471589 kJ/mol
Non-binding_donor1_row14545_cand000447,openmm,-167.3043318815242,AB,MP,P,M,MP_AB,M_P,-37.05174701024302,-37.05174701024302,2072.7518250875546,-69.84650703793258,-69.84650703793258,2153.716058898698,-37.051747010523854,-56150.852184415366 kJ/mol
Non-binding_donor1_row14996_cand000353,openmm,3.974757386953783,AB,MP,P,M,MP_AB,M_P,-37.30460343719941,-37.30460343719941,1704.0410140493752,-76.21851683461125,-76.21851683461125,2201.8012217554115,-37.3046034370643,-50319.82706044626 kJ/mol
Non-binding_donor1_row15202_cand000203,openmm,-295.52087529793675,AB,MP,P,M,MP_AB,M_P,-36.806245237284486,-36.806245237284486,1633.4267688710124,-75.07605319349797,-75.07605319349797,2191.7920610189612,-36.80624523671014,-57334.0569155785 kJ/mol
Non-binding_donor1_row15214_cand000238,openmm,-327.68779419163724,AB,MP,P,M,MP_AB,M_P,-37.880553286593056,-37.880553286593056,1657.695463521729,-72.2395266733954,-72.2395266733954,2175.717376925601,-37.880553286445036,-57566.8714153828 kJ/mol
Non-binding_donor1_row15219_cand000346,openmm,-35.44966439707093,AB,MP,P,M,MP_AB,M_P,-36.625560790378145,-36.625560790378145,1638.4715305971276,-76.09957268507304,-76.09957268507304,2191.062761616232,-36.625560790152534,-51111.34256013553 kJ/mol
