TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Binding_donor1_row1250_cand00451,rosetta_sidechain,934.7307279044762,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-2.299538755323738e-05
Binding_donor1_row1224_cand00382,rosetta_sidechain,2890.641662523179,AB,MP,P,M,MP_AB,M_P,-0.4818588150828873,-0.4818588150828873,80.76964899209277,0.0,0.0,0.0,-0.4818588150874348
Binding_donor1_row1311_cand00412,rosetta_sidechain,1101.6142830093427,AB,MP,P,M,MP_AB,M_P,237.00835750968383,237.00835750968383,673.597483390145,-0.14039932480329753,-0.14039932480329753,384.8905096533771,237.00835750958754
Binding_donor1_row1365_cand00487,rosetta_sidechain,6030.054372141294,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.4327680313485871,0.4327680313485871,94.89678610781212,-8.269389581982978e-07
Binding_donor1_row1335_cand00009,rosetta_sidechain,14586.499063760291,AB,MP,P,M,MP_AB,M_P,6690.024574693426,6690.024574693426,912.4915812081225,0.0,0.0,0.0,6690.024574693635
Binding_donor1_row1161_cand00471,rosetta_sidechain,41415.97726058708,AB,MP,P,M,MP_AB,M_P,37027.98194770159,37027.98194770159,2185.0495438377507,2229.0462560123083,2229.0462560123083,380.4839023579418,37027.981947701664
Binding_donor1_row1367_cand00323,rosetta_sidechain,24162.622391597553,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,19849.540816126817,19849.540816126817,1225.4082962519842,-0.0023739746029605158
Binding_donor1_row1400_cand00225,rosetta_sidechain,434.1947648886432,AB,MP,P,M,MP_AB,M_P,-89.6420670818843,-89.6420670818843,416.1452918786931,0.0,0.0,0.0,-89.64206708185378
Binding_donor1_row1418_cand00136,rosetta_sidechain,2509.394924701837,AB,MP,P,M,MP_AB,M_P,-9.707563633108748,-9.707563633108748,753.1245277679876,-22.067369544917256,-22.067369544917256,1635.6611471364342,-9.707563632916845
Binding_donor1_row1490_cand00188,rosetta_sidechain,272.153622349165,AB,MP,P,M,MP_AB,M_P,-0.1431998022626999,-0.1431998022626999,19.602335820471154,0.0,0.0,0.0,-0.14319980222535378
Binding_donor1_row1470_cand00528,rosetta_sidechain,15381.53378712578,AB,MP,P,M,MP_AB,M_P,8572.651360045009,8572.651360045009,1513.493490624965,75.58787826137632,75.58787826137632,384.8287327548754,8572.651360045136
Binding_donor1_row1487_cand00295,rosetta_sidechain,539.4396296279398,AB,MP,P,M,MP_AB,M_P,0.7785065152791049,0.7785065152791049,202.4409338642946,7.866789705062956,7.866789705062956,1641.5806833976876,0.7785065152285142
Binding_donor1_row1574_cand00153,rosetta_sidechain,863.0456349948564,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,4.433786671143025e-12
Binding_donor1_row1509_cand00133,rosetta_sidechain,26357.21776876016,AB,MP,P,M,MP_AB,M_P,23571.352091012748,23571.352091012748,1842.6890622565934,2247.0943829944654,2247.0943829944654,563.0978416204488,23571.352091012595
Binding_donor1_row1552_cand00176,rosetta_sidechain,1225.80124479856,AB,MP,P,M,MP_AB,M_P,0.05769340361621289,0.05769340361621289,16.84948616894222,-0.18432719638730077,-0.18432719638730077,12.574709409674256,0.05769340298274983
Binding_donor1_row1589_cand00311,rosetta_sidechain,46116.28920697875,AB,MP,P,M,MP_AB,M_P,35518.99655030573,35518.99655030573,1989.8664336770628,8151.465423017388,8151.465423017388,668.1722243730569,35518.9965503056
Binding_donor1_row1604_cand00114,rosetta_sidechain,4895.672722331266,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.0632747026402285,-0.0632747026402285,73.47735309650456,7.275957614183426e-12
Binding_donor1_row16_cand00085,rosetta_sidechain,1029.7278773289033,AB,MP,P,M,MP_AB,M_P,0.6034225033811254,0.6034225033811254,99.11478924576733,0.0,0.0,0.0,0.6034225032012728
Binding_donor1_row176_cand00144,rosetta_sidechain,2801.807647433928,AB,MP,P,M,MP_AB,M_P,-0.01856370238783711,-0.01856370238783711,89.26059047583726,-13.432771255468879,-13.432771255468879,1504.097646344684,-0.01856370217365111
Binding_donor1_row211_cand00187,rosetta_sidechain,40854.848015846175,AB,MP,P,M,MP_AB,M_P,17105.74363809134,17105.74363809134,1291.266914826626,22251.2988943493,22251.2988943493,1440.1767621187762,17105.74363809127
Binding_donor1_row218_cand00352,rosetta_sidechain,22790.2128376018,AB,MP,P,M,MP_AB,M_P,0.09278267589979805,0.09278267589979805,78.286107522656,20385.746632868773,20385.746632868773,1325.0524787664667,0.0927826757033472
Binding_donor1_row15_cand00346,rosetta_sidechain,842.3579514288933,AB,MP,P,M,MP_AB,M_P,-8.353774067985,-8.353774067985,562.3706133417653,12.223027721574681,12.223027721574681,1550.0720467891301,-8.35377406805037
Binding_donor1_row256_cand00288,rosetta_sidechain,15762.138814403987,AB,MP,P,M,MP_AB,M_P,13746.533776756996,13746.533776756996,1010.4506677223517,0.0,0.0,0.0,13746.533776757422
Binding_donor1_row260_cand00199,rosetta_sidechain,5462.09399482648,AB,MP,P,M,MP_AB,M_P,369.71021399457095,369.71021399457095,132.28882860080313,0.0,0.0,0.0,369.7102139945573
