TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row1_cand000002,openmm,-94.20244725715143,AB,MP,P,M,MP_AB,M_P,-46.101411524046256,-46.101411524046256,1885.1432732261064,-49.28064491287337,-49.28064491287337,1880.52365043472,-46.101411523760476,-50273.04117822997 kJ/mol
Binding_donor1_row0_cand000008,openmm,-195.95527434453473,AB,MP,P,M,MP_AB,M_P,-39.97237891545808,-39.97237891545808,1937.3778826877572,-61.24061556111473,-61.24061556111473,1932.3326632975266,-39.972378915291074,-50031.17718043164 kJ/mol
Binding_donor1_row2_cand000012,openmm,-334.66112483551154,AB,MP,P,M,MP_AB,M_P,-46.328951630751874,-46.328951630751874,1915.595933155282,-57.213702933686946,-57.213702933686946,1942.5235011735813,-46.32895163067968,-56068.24613703514 kJ/mol
Binding_donor1_row3_cand000010,openmm,-230.90993652080067,AB,MP,P,M,MP_AB,M_P,-45.290267894859795,-45.290267894859795,1986.973313852806,-63.10765422907912,-63.10765422907912,1988.9100010039888,-45.290267894359545,-54490.75277743946 kJ/mol
Binding_donor1_row4_cand000027,openmm,-363.60662849596196,AB,MP,P,M,MP_AB,M_P,-48.502818893135895,-48.502818893135895,2165.7986630295,-59.81102914320458,-59.81102914320458,1899.4021400367474,-48.502818893051995,-52717.88532361961 kJ/mol
Binding_donor1_row5_cand000016,openmm,24.98507547094303,AB,MP,P,M,MP_AB,M_P,-39.20975171376385,-39.20975171376385,1915.1788847912628,-43.75219709275454,-43.75219709275454,1984.64712351171,-39.20975171325401,-59542.5353003905 kJ/mol
Binding_donor1_row7_cand000015,openmm,-188.89324446929407,AB,MP,P,M,MP_AB,M_P,-24.8096704753101,-24.8096704753101,1674.7699652948568,-58.131568947776316,-58.131568947776316,1984.33670312946,-24.80967047508605,-53392.540759784606 kJ/mol
Binding_donor1_row6_cand000003,openmm,-64.13433541942108,AB,MP,P,M,MP_AB,M_P,-28.7341220204421,-28.7341220204421,1715.452100811217,-51.03276281210283,-51.03276281210283,2006.7025234743683,-28.73412202083989,-49395.41140137079 kJ/mol
Binding_donor2_row10_cand000004,openmm,-160.4457076374047,AB,MP,P,M,MP_AB,M_P,-43.725702724393756,-43.725702724393756,1879.140713591591,-63.799831004680456,-63.799831004680456,1901.0360629833324,-43.72570272448243,-56682.295330530615 kJ/mol
Binding_donor2_row11_cand000021,openmm,491.4053291533287,AB,MP,P,M,MP_AB,M_P,-39.8303396778241,-39.8303396778241,1787.188166062572,-57.59729595635402,-57.59729595635402,1988.9613602261104,-39.83033967837946,-44989.850567110596 kJ/mol
Binding_donor2_row12_cand000030,openmm,3180.2781860400855,AB,MP,P,M,MP_AB,M_P,-22.205173415740774,-22.205173415740774,1585.2092247297899,411.39932791299543,411.39932791299543,1619.4409258545152,-22.205173415779882,-33822.389328649 kJ/mol
Binding_donor2_row13_cand000023,openmm,391.6056679677595,AB,MP,P,M,MP_AB,M_P,-50.3209671104766,-50.3209671104766,2474.1140385755166,-48.38863411938465,-48.38863411938465,1696.2712969116872,-50.32096711055982,-43434.86196473305 kJ/mol
Binding_donor2_row14_cand000007,openmm,-265.0058129897936,AB,MP,P,M,MP_AB,M_P,-64.90663319663787,-64.90663319663787,2442.0545587237866,-43.76653299783235,-43.76653299783235,1795.896389402662,-64.90663319636928,-55036.37492000795 kJ/mol
Binding_donor2_row15_cand000024,openmm,-272.58030640348437,AB,MP,P,M,MP_AB,M_P,-28.069868717578856,-28.069868717578856,1653.555922629924,-53.855605914298636,-53.855605914298636,1991.3746774034666,-28.06986871759048,-54036.654011922335 kJ/mol
Binding_donor2_row16_cand000011,openmm,-133.71394205066983,AB,MP,P,M,MP_AB,M_P,-33.72192823809989,-33.72192823809989,1736.4931697117486,-52.79382401616141,-52.79382401616141,1948.747050519475,-33.72192823814822,-58708.38520550594 kJ/mol
Binding_donor2_row17_cand000020,openmm,-168.03540750699568,AB,MP,P,M,MP_AB,M_P,-38.33657312467071,-38.33657312467071,1743.8430459586145,-54.844404244043574,-54.844404244043574,1917.3528591505283,-38.336573124455015,-55914.68808301732 kJ/mol
