TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10018_cand000412,rosetta_sidechain,3738.854046954065,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,0.016386447828153905
Non-binding_donor1_row10127_cand000113,rosetta_sidechain,10116.303372461798,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,9300.044732765518,9300.044732765518,660.3317399519647,-1.0913936421275139e-11
Non-binding_donor1_row10203_cand000271,rosetta_sidechain,5979.163171168737,AB,MP,P,M,MP_AB,M_P,225.1685341023067,225.1685341023067,369.89745651810165,2363.266903544084,2363.266903544084,215.3631654776072,225.16853410224394
Non-binding_donor1_row11148_cand000516,rosetta_sidechain,1191.3029721380512,AB,MP,P,M,MP_AB,M_P,0.26724355908027064,0.26724355908027064,127.05934122665643,0.0,0.0,0.0,0.2672435590418445
Non-binding_donor1_row10176_cand000317,rosetta_sidechain,1349.4971991974865,AB,MP,P,M,MP_AB,M_P,16.569217703055983,16.569217703055983,194.92632180709694,21.003824953401704,21.003824953401704,1699.1225365909147,16.5692177032181
Non-binding_donor1_row10956_cand000296,rosetta_sidechain,10282.808684368178,AB,MP,P,M,MP_AB,M_P,6268.940100593189,6268.940100593189,1245.548845071657,3585.7166380590047,3585.7166380590047,535.5259135563509,6268.940100593709
Non-binding_donor1_row11171_cand000357,rosetta_sidechain,558.3888638012481,AB,MP,P,M,MP_AB,M_P,-0.680734716286338,-0.680734716286338,112.28780528004417,-0.08957446876743802,-0.08957446876743802,24.604232260157744,-0.6807347163689883
Non-binding_donor1_row1118_cand000153,rosetta_sidechain,1354.6602033732242,AB,MP,P,M,MP_AB,M_P,-0.660943676672332,-0.660943676672332,114.33950575042417,0.0,0.0,0.0,-0.6609436766625549
Non-binding_donor1_row11502_cand000452,rosetta_sidechain,7003.307131249576,AB,MP,P,M,MP_AB,M_P,0.12940137438909005,0.12940137438909005,81.69817966819159,2673.8801829422046,2673.8801829422046,511.98115045128606,0.1294013745355187
Non-binding_donor1_row11213_cand000577,rosetta_sidechain,1779.9802876920064,AB,MP,P,M,MP_AB,M_P,-0.45513138402043296,-0.45513138402043296,103.62997929173346,13.888597923845225,13.888597923845225,1649.2362327312383,-0.45513138438514034
Non-binding_donor1_row11584_cand000078,rosetta_sidechain,-38.98703094790154,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.023188332122671795,-0.023188332122671795,2.2409872455229305,-1.1610268302320037e-11
Non-binding_donor1_row12385_cand000594,rosetta_sidechain,9364.926249209397,AB,MP,P,M,MP_AB,M_P,0.30837647763473797,0.30837647763473797,76.37549171198835,8072.358630369612,8072.358630369612,841.9843828905485,0.3083764775929012
Non-binding_donor1_row12123_cand000318,rosetta_sidechain,-41.33082765795311,AB,MP,P,M,MP_AB,M_P,-0.7109214865807871,-0.7109214865807871,240.727562318688,8.672225387387584,8.672225387387584,176.3927247793015,-0.7109214868288518
Non-binding_donor1_row12104_cand000009,rosetta_sidechain,1556.983829988847,AB,MP,P,M,MP_AB,M_P,1491.8900039723376,1491.8900039723376,910.728139317002,-5.677447344722424,-5.677447344722424,1538.0522357263062,1491.8900039725033
Non-binding_donor1_row12429_cand000178,rosetta_sidechain,3102.837456935694,AB,MP,P,M,MP_AB,M_P,606.8858619467687,606.8858619467687,237.36667874085873,2153.016798754016,2153.016798754016,366.17986642625925,606.8858619468801
Non-binding_donor1_row12543_cand000526,rosetta_sidechain,370.94214280491855,AB,MP,P,M,MP_AB,M_P,0.15860406998791632,0.15860406998791632,81.21380038014033,0.0,0.0,0.0,0.15860406989855846
Non-binding_donor1_row12670_cand000470,rosetta_sidechain,13268.161212182606,AB,MP,P,M,MP_AB,M_P,10625.4524697726,10625.4524697726,1492.831786490647,0.2203028851611748,0.2203028851611748,27.37817324606972,10625.452469772565
Non-binding_donor1_row12844_cand000226,rosetta_sidechain,943.3571270855787,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-8.526512829121202e-12
Non-binding_donor1_row12603_cand000211,rosetta_sidechain,10139.284241149146,AB,MP,P,M,MP_AB,M_P,-0.4494051594447228,-0.4494051594447228,78.20629555521704,-0.2644571028342284,-0.2644571028342284,51.212311941115274,-0.4494051594647317
Non-binding_donor1_row13475_cand000502,rosetta_sidechain,529.9826699523246,AB,MP,P,M,MP_AB,M_P,42.02601311595714,42.02601311595714,364.51762260367866,15.699956688240775,15.699956688240775,175.72340264668992,42.02601311605838
Non-binding_donor1_row12973_cand000423,rosetta_sidechain,740.1425877616145,AB,MP,P,M,MP_AB,M_P,0.021535547609005334,0.021535547609005334,30.063071412054292,248.59509334090154,248.59509334090154,281.59226703182486,0.021535547970756852
Non-binding_donor1_row12923_cand000474,rosetta_sidechain,39466.544861521266,AB,MP,P,M,MP_AB,M_P,39118.585140229276,39118.585140229276,2407.206236652839,389.81924342068066,389.81924342068066,212.8938736518856,39118.58514022953
Non-binding_donor1_row13699_cand000203,rosetta_sidechain,441.2393999353806,AB,MP,P,M,MP_AB,M_P,-0.29308629088745874,-0.29308629088745874,481.2409921307034,261.1994092625381,261.1994092625381,1303.7313892407449,-0.2930862907495566
Non-binding_donor1_row14151_cand000414,rosetta_sidechain,8481.17680025551,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,1.0913936421275139e-11
Non-binding_donor1_row13851_cand000217,rosetta_sidechain,18294.601722292104,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,17437.755295154613,17437.755295154613,1479.4775121957862,0.0
