TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row0_cand000178,openmm,-263.02839931271615,AB,MP,P,M,MP_AB,M_P,-50.95846749261952,-50.95846749261952,2271.4949725292536,-61.74565655731205,-61.74565655731205,1791.47237535682,-50.95846749255827,-50537.976076950494 kJ/mol
Non-binding_donor1_row10018_cand000412,openmm,402.24181172124975,AB,MP,P,M,MP_AB,M_P,-46.073219743673064,-46.073219743673064,2209.7819685922127,-66.03157489839496,-66.03157489839496,1785.2056349297036,-46.07321974370336,-48980.407991705164 kJ/mol
Non-binding_donor1_row10057_cand000021,openmm,-243.3274924813989,AB,MP,P,M,MP_AB,M_P,-44.546908139805225,-44.546908139805225,2197.1502140655643,-49.82077776716361,-49.82077776716361,1732.2747554517912,-44.54690813966852,-54638.736612822395 kJ/mol
Non-binding_donor1_row10160_cand000174,openmm,-357.1993294356243,AB,MP,P,M,MP_AB,M_P,-56.917465984257944,-56.917465984257944,2321.065495906621,-67.87381621805581,-67.87381621805581,1843.0131505061418,-56.91746598448452,-55874.17621601227 kJ/mol
Non-binding_donor1_row10167_cand000068,openmm,-347.8734152650695,AB,MP,P,M,MP_AB,M_P,-57.115104056100506,-57.115104056100506,2213.9524522324004,-70.1596361890599,-70.1596361890599,1758.4023343541464,-57.115104056225675,-58558.179447241586 kJ/mol
Non-binding_donor1_row10221_cand000320,openmm,-119.708881787784,AB,MP,P,M,MP_AB,M_P,-47.5962153574382,-47.5962153574382,2256.188993494624,-52.65618675546884,-52.65618675546884,1689.5484980725153,-47.596215356633465,-57457.280008981994 kJ/mol
Non-binding_donor1_row10226_cand000322,openmm,155654.19668797898,AB,MP,P,M,MP_AB,M_P,3146.3692705056746,3146.3692705056746,1487.6502064652122,1856.09792298291,1856.09792298291,1349.6268077187735,3146.36927050582,1.28334489150018e+24 kJ/mol
Non-binding_donor1_row10248_cand000276,openmm,518.0379526120952,AB,MP,P,M,MP_AB,M_P,-60.197800189690156,-60.197800189690156,2489.31111682184,-54.58660564844376,-54.58660564844376,1842.8675822895063,-60.19780018987615,-42308.22967884116 kJ/mol
Non-binding_donor1_row1026_cand000433,openmm,-240.00539047986663,AB,MP,P,M,MP_AB,M_P,-46.30712299416669,-46.30712299416669,2197.8052632834037,-70.39296247042365,-70.39296247042365,1824.2675386378328,-46.307122993941476,-54869.02122227859 kJ/mol
Non-binding_donor1_row10317_cand000179,openmm,669.1731477692492,AB,MP,P,M,MP_AB,M_P,-29.863600254189237,-29.863600254189237,1152.535788947013,-63.30095652861331,-63.30095652861331,1830.5164456785033,-29.86360025399142,-39538.281795054114 kJ/mol
Non-binding_donor1_row10356_cand000372,openmm,-45.61178098824547,AB,MP,P,M,MP_AB,M_P,-47.54319717316713,-47.54319717316713,2042.5833900878122,-57.15557208342997,-57.15557208342997,1826.7182834313699,-47.5431971733812,-50766.9683149944 kJ/mol
Non-binding_donor1_row10662_cand000006,openmm,-272.9214166638287,AB,MP,P,M,MP_AB,M_P,-43.74383342619967,-43.74383342619967,2135.983684352852,-60.20554414157807,-60.20554414157807,1858.6531855596031,-43.74383342642875,-53736.569050395294 kJ/mol
Non-binding_donor1_row10778_cand000152,openmm,-332.9472178873371,AB,MP,P,M,MP_AB,M_P,-51.70307926308209,-51.70307926308209,2106.845831369827,-69.1624796265658,-69.1624796265658,1831.7622384275205,-51.70307926306123,-55861.16398570348 kJ/mol
Non-binding_donor1_row11024_cand000353,openmm,-98.42764123549787,AB,MP,P,M,MP_AB,M_P,-56.65578331385323,-56.65578331385323,2131.1728665596734,-49.64060530213983,-49.64060530213983,1643.2426324535495,-56.65578331398844,-54846.533803877035 kJ/mol
Non-binding_donor1_row11448_cand000007,openmm,-142.57727329347966,AB,MP,P,M,MP_AB,M_P,-45.825790287029406,-45.825790287029406,1774.739453910855,-67.18639041828763,-67.18639041828763,1793.546299686342,-45.825790286734986,-54201.02907301706 kJ/mol
Non-binding_donor1_row11654_cand000352,openmm,-406.79493107948326,AB,MP,P,M,MP_AB,M_P,-44.58396502013744,-44.58396502013744,1811.297058366976,-63.19494099132035,-63.19494099132035,1789.262881608022,-44.58396502018064,-52965.39477925465 kJ/mol
Non-binding_donor1_row11727_cand000422,openmm,-254.2900349012545,AB,MP,P,M,MP_AB,M_P,-39.51669085458252,-39.51669085458252,1671.8568478758814,-72.74568055393631,-72.74568055393631,1803.9422486560911,-39.51669085466844,-55706.82830412115 kJ/mol
Non-binding_donor1_row11973_cand000113,openmm,-305.77336416449464,AB,MP,P,M,MP_AB,M_P,-39.44048160958556,-39.44048160958556,2013.37577823384,-66.78465492479157,-66.78465492479157,1812.4017121571487,-39.440481609663266,-52360.655409806146 kJ/mol
Non-binding_donor1_row11976_cand000134,openmm,-287.4966743152953,AB,MP,P,M,MP_AB,M_P,-38.49283579075319,-38.49283579075319,1647.5560934660616,-64.15433006814204,-64.15433006814204,1844.7888950292343,-38.492835790898056,-52855.31965434196 kJ/mol
Non-binding_donor1_row1197_cand000255,openmm,-227.16420023702372,AB,MP,P,M,MP_AB,M_P,-41.201580142247224,-41.201580142247224,2067.173954480673,-59.50505739912795,-59.50505739912795,1795.7960833912953,-41.20158014247207,-49495.82648402157 kJ/mol
