TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10289_cand000095,openmm,-121.13487894722928,AB,MP,P,M,MP_AB,M_P,-43.94565985872151,-43.94565985872151,2009.165361460368,-72.3910710179782,-72.3910710179782,2151.3808781726993,-43.94565985854891,-59236.09217178152 kJ/mol
Non-binding_donor1_row10014_cand000440,openmm,-96.66732561107955,AB,MP,P,M,MP_AB,M_P,-71.81049461473997,-71.81049461473997,2368.2748137595895,-77.70226832414768,-77.70226832414768,2162.78711679773,-71.81049461482984,-63158.491455714 kJ/mol
Non-binding_donor1_row1061_cand000207,openmm,-253.1204268857325,AB,MP,P,M,MP_AB,M_P,-45.67578230917985,-45.67578230917985,1908.2321253024754,-74.7690691954161,-74.7690691954161,2070.3413780071924,-45.67578230938801,-57954.71191965779 kJ/mol
Non-binding_donor1_row1046_cand000525,openmm,-260.26590902311074,AB,MP,P,M,MP_AB,M_P,-39.892832226300925,-39.892832226300925,2277.449927338794,-78.6835096696529,-78.6835096696529,2075.4402759681952,-39.89283222637056,-57351.99848442503 kJ/mol
Non-binding_donor1_row10984_cand000304,openmm,-224.0635339392919,AB,MP,P,M,MP_AB,M_P,-43.78461909208761,-43.78461909208761,2095.6972033423913,-66.8527242233156,-66.8527242233156,2137.353698002497,-43.78461909197924,-58653.1797041817 kJ/mol
Non-binding_donor1_row110_cand000024,openmm,-196.21566880641996,AB,MP,P,M,MP_AB,M_P,-44.97966273571953,-44.97966273571953,2167.359359717689,-67.57957800590562,-67.57957800590562,2080.903389237504,-44.979662736187606,-60594.461463919055 kJ/mol
Non-binding_donor1_row11165_cand000063,openmm,90.74186908953739,AB,MP,P,M,MP_AB,M_P,310.77683996621715,310.77683996621715,2355.891648417558,-77.06195926408941,-77.06195926408941,2143.5655264928364,310.7768399662033,-47145.174513035185 kJ/mol
Non-binding_donor1_row11458_cand000550,openmm,-448.892932109163,AB,MP,P,M,MP_AB,M_P,-48.06392613525742,-48.06392613525742,2185.06249805931,-67.61829011385038,-67.61829011385038,2042.4279937282345,-48.063926135570796,-56513.93516888493 kJ/mol
Non-binding_donor1_row11479_cand000404,openmm,-139.80226870286276,AB,MP,P,M,MP_AB,M_P,-55.1133980735015,-55.1133980735015,1960.2133594988495,-67.86793334552189,-67.86793334552189,2257.3907263763017,-55.113398073341955,-54994.518128289026 kJ/mol
Non-binding_donor1_row11521_cand000315,openmm,-165.24084903664448,AB,MP,P,M,MP_AB,M_P,-31.030392882150068,-31.030392882150068,1662.3554150543648,-79.94172192665322,-79.94172192665322,2309.3162419059336,-31.030392882253665,-55363.35773876896 kJ/mol
Non-binding_donor1_row11528_cand000221,openmm,-218.77641050512136,AB,MP,P,M,MP_AB,M_P,-35.31431004081239,-35.31431004081239,1724.9243827557154,-80.41365950186193,-80.41365950186193,2154.497787992157,-35.314310040782345,-60606.1458500213 kJ/mol
