TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row2_cand000035,openmm,-55.96525996826861,AB,MP,P,M,MP_AB,M_P,-47.9385006899379,-47.9385006899379,2156.1473258177834,-61.98054694767431,-61.98054694767431,1756.0455658445555,-47.9385006896552,-57364.9792361709 kJ/mol
Binding_donor1_row0_cand000034,openmm,244.8063632881769,AB,MP,P,M,MP_AB,M_P,-49.46718110886465,-49.46718110886465,2192.973354155844,-58.98326021363022,-58.98326021363022,1805.9937474439803,-49.46718110924684,-45425.786129308384 kJ/mol
Binding_donor1_row4_cand000003,openmm,-221.86454481536026,AB,MP,P,M,MP_AB,M_P,-56.32286610205202,-56.32286610205202,2443.4165050737765,-57.68935682514928,-57.68935682514928,1842.868846683587,-56.32286610209377,-58015.323750588155 kJ/mol
Binding_donor1_row3_cand000001,openmm,132.65292910020884,AB,MP,P,M,MP_AB,M_P,-49.25006884950065,-49.25006884950065,2279.3757856915963,-63.130272919603684,-63.130272919603684,1856.1682710978218,-49.25006884922385,-54799.68707656623 kJ/mol
Binding_donor2_row11_cand000009,openmm,-213.88002967611578,AB,MP,P,M,MP_AB,M_P,-33.288601373548005,-33.288601373548005,1882.4178446363812,-60.874125685836276,-60.874125685836276,1827.3739454537028,-33.28860137325529,-49683.89272180715 kJ/mol
Binding_donor2_row10_cand000038,openmm,-211.55266677019102,AB,MP,P,M,MP_AB,M_P,-56.32009688999213,-56.32009688999213,2196.4996251335915,-53.6254982139323,-53.6254982139323,1750.3922582288926,-56.32009688991184,-52974.76260327705 kJ/mol
Binding_donor2_row12_cand000008,openmm,-241.43594757585177,AB,MP,P,M,MP_AB,M_P,-33.90600850233548,-33.90600850233548,1924.3500702902272,-63.7365838144967,-63.7365838144967,1848.7479145772506,-33.9060085020175,-56688.71379996643 kJ/mol
Binding_donor2_row13_cand000032,openmm,528.4171425514184,AB,MP,P,M,MP_AB,M_P,-49.506623532783465,-49.506623532783465,2633.3254629455055,-55.047604081208384,-55.047604081208384,1808.0976759225987,-49.50662353276516,-45106.086055122476 kJ/mol
Binding_donor2_row14_cand000002,openmm,-288.70018660318095,AB,MP,P,M,MP_AB,M_P,-47.370470187054906,-47.370470187054906,2133.135012246879,-51.80507067413535,-51.80507067413535,1728.6919668343542,-47.37047018672408,-54135.52431873676 kJ/mol
Binding_donor2_row15_cand000036,openmm,-194.4260059164601,AB,MP,P,M,MP_AB,M_P,-36.209875705332195,-36.209875705332195,1740.521831775428,-58.52934355938358,-58.52934355938358,1883.781032109397,-36.20987570532725,-56199.44996751132 kJ/mol
Binding_donor2_row16_cand000020,openmm,-206.45763850947873,AB,MP,P,M,MP_AB,M_P,-53.91363066864261,-53.91363066864261,2261.6798613775495,-56.079866417745436,-56.079866417745436,1782.1152386008393,-53.913630668567976,-52586.09094329754 kJ/mol
Binding_donor2_row19_cand000037,openmm,164.89715812524776,AB,MP,P,M,MP_AB,M_P,333.2241356385192,333.2241356385192,2152.322231201036,-52.99412009982939,-52.99412009982939,1804.510434776314,333.22413563867264,-44055.60639285502 kJ/mol
Binding_donor2_row7_cand000012,openmm,-357.4001903451052,AB,MP,P,M,MP_AB,M_P,-41.38297745705961,-41.38297745705961,1980.172890525524,-59.02352803910527,-59.02352803910527,1869.2792775230296,-41.38297745764709,-53614.75248326951 kJ/mol
Binding_donor2_row20_cand000030,openmm,-72.9740748083974,AB,MP,P,M,MP_AB,M_P,-54.71955336069381,-54.71955336069381,2248.343552338456,-54.24426945047261,-54.24426945047261,1760.217717243806,-54.719553360949654,-58759.23206135425 kJ/mol
Binding_donor2_row8_cand000039,openmm,129.1344409145068,AB,MP,P,M,MP_AB,M_P,263.9199653814378,263.9199653814378,2012.8351372877241,-53.70004844878448,-53.70004844878448,1895.9031504944635,263.91996538168337,-48713.94031708936 kJ/mol
Binding_donor2_row9_cand000016,openmm,-176.72354776169908,AB,MP,P,M,MP_AB,M_P,-42.94327412457369,-42.94327412457369,1913.2940610684304,-58.468883041925494,-58.468883041925494,1806.0117437278227,-42.94327412455712,-58335.15404068181 kJ/mol
Binding_donor3_row22_cand000033,openmm,-218.4815379692002,AB,MP,P,M,MP_AB,M_P,-43.45453016959243,-43.45453016959243,1887.2898885797201,-49.51535433014481,-49.51535433014481,1842.8588323721901,-43.45453016932254,-50735.63350880245 kJ/mol
Binding_donor3_row21_cand000004,openmm,305.4404285193963,AB,MP,P,M,MP_AB,M_P,216.31047155811342,216.31047155811342,2077.79927074221,-57.1912684464188,-57.1912684464188,1832.4498903957865,216.31047155792976,-50766.0311129142 kJ/mol
Binding_donor3_row23_cand000014,openmm,-189.11430782307636,AB,MP,P,M,MP_AB,M_P,-39.53008749041737,-39.53008749041737,1617.2811080547388,-61.33943717723236,-61.33943717723236,1754.6894217446993,-39.53008749045884,-52242.76845066255 kJ/mol
Binding_donor3_row26_cand000024,openmm,-117.31386785672079,AB,MP,P,M,MP_AB,M_P,-46.09047217147217,-46.09047217147217,1884.025998766188,-58.509273225782756,-58.509273225782756,1804.6801428357587,-46.090472171647335,-55896.24590566963 kJ/mol
Binding_donor3_row28_cand000022,openmm,-342.568122711318,AB,MP,P,M,MP_AB,M_P,-49.28557278037539,-49.28557278037539,1982.670456685128,-52.4772594932149,-52.4772594932149,1771.1165692627346,-49.28557277998891,-54462.11645518717 kJ/mol
Binding_donor3_row27_cand000027,openmm,-64.09685087887857,AB,MP,P,M,MP_AB,M_P,-53.259780451169796,-53.259780451169796,2630.8291223948872,-61.65204650676419,-61.65204650676419,1695.9661978444008,-53.259780451280506,-54666.22365460208 kJ/mol
Binding_donor3_row29_cand000028,openmm,16.293940322603675,AB,MP,P,M,MP_AB,M_P,-40.5720738611423,-40.5720738611423,1846.6750607163362,-55.80893786273661,-55.80893786273661,1638.5303288003727,-40.572073861248256,-55890.298066920506 kJ/mol
Binding_donor3_row30_cand000007,openmm,-316.59488334572734,AB,MP,P,M,MP_AB,M_P,-46.108835300522514,-46.108835300522514,1746.53771796841,-60.910728367187595,-60.910728367187595,1704.0778909172152,-46.108835300867725,-52599.009206467344 kJ/mol
Binding_donor3_row32_cand000010,openmm,-300.5806128526613,AB,MP,P,M,MP_AB,M_P,-51.021990885901744,-51.021990885901744,1893.1600281446317,-67.32362468887207,-67.32362468887207,1758.171120891861,-51.02199088593616,-51485.26512282848 kJ/mol
Binding_donor3_row31_cand000011,openmm,-242.77963403580003,AB,MP,P,M,MP_AB,M_P,-55.85438966954001,-55.85438966954001,2078.1709327886574,-57.96165257081548,-57.96165257081548,1760.8337021144773,-55.85438966954382,-53741.67903738683 kJ/mol
Binding_donor3_row33_cand000006,openmm,-60.379124928419856,AB,MP,P,M,MP_AB,M_P,255.07679628443833,255.07679628443833,2112.2738441286238,-68.28376216400214,-68.28376216400214,1904.2581269509676,255.07679628413507,-47515.399124812364 kJ/mol
Binding_donor3_row34_cand000029,openmm,-258.64699596096676,AB,MP,P,M,MP_AB,M_P,-43.93957277879235,-43.93957277879235,2132.074317482799,-54.52597227788641,-54.52597227788641,1878.9444610134778,-43.93957277840397,-53470.99178943366 kJ/mol
Binding_donor4_row35_cand000013,openmm,-201.10727365457367,AB,MP,P,M,MP_AB,M_P,-63.07214198802245,-63.07214198802245,2418.672475819044,-61.541860438071964,-61.541860438071964,1778.146367638823,-63.072141988119455,-55578.37373455873 kJ/mol
Binding_donor4_row36_cand000026,openmm,-144.38954756969463,AB,MP,P,M,MP_AB,M_P,-52.6858899868196,-52.6858899868196,2148.3829687801535,-54.87434551475917,-54.87434551475917,1733.524488766408,-52.68588998686673,-56158.993068790915 kJ/mol
Binding_donor4_row38_cand000019,openmm,-151.35831789576937,AB,MP,P,M,MP_AB,M_P,-40.74830144587969,-40.74830144587969,2100.894421517923,-62.84037660897465,-62.84037660897465,1814.4561973973127,-40.74830144591637,-53042.967597911076 kJ/mol
Binding_donor4_row37_cand000031,openmm,-191.6764762669183,AB,MP,P,M,MP_AB,M_P,-46.0092721007677,-46.0092721007677,2143.9923099155712,-55.3036943606877,-55.3036943606877,1782.3842752872697,-46.00927210069813,-57903.43897571539 kJ/mol
