TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10081_cand000598,openmm,-256.2209028194932,AB,MP,P,M,MP_AB,M_P,-42.04655531053035,-42.04655531053035,2111.6843805055637,-66.68991678908876,-66.68991678908876,1618.4449866841953,-42.04655531046521,-59946.93404926277 kJ/mol
Non-binding_donor1_row1001_cand000507,openmm,-323.7327525808059,AB,MP,P,M,MP_AB,M_P,-49.75697275954872,-49.75697275954872,2206.9093350548646,-48.835422087209196,-48.835422087209196,1506.7661151446437,-49.756972759743235,-58957.49135995153 kJ/mol
Non-binding_donor1_row10289_cand000522,openmm,-171.50626824716537,AB,MP,P,M,MP_AB,M_P,-30.737943746573904,-30.737943746573904,1935.4337720694891,-55.90356826747704,-55.90356826747704,1547.7510458936767,-30.737943746849936,-57879.58131108907 kJ/mol
Non-binding_donor1_row1046_cand000007,openmm,-209.73570587844452,AB,MP,P,M,MP_AB,M_P,-53.84475364883406,-53.84475364883406,2292.786732766523,-62.31906638621559,-62.31906638621559,1569.1802217207198,-53.844753649029684,-55947.27835161181 kJ/mol
Non-binding_donor1_row1050_cand000587,openmm,-384.14466543348806,AB,MP,P,M,MP_AB,M_P,-42.323752702254126,-42.323752702254126,2056.2478287832996,-50.78245149565255,-50.78245149565255,1616.6778446950602,-42.32375270251691,-57480.332264765086 kJ/mol
Non-binding_donor1_row10550_cand000353,openmm,-199.375813480584,AB,MP,P,M,MP_AB,M_P,-42.84281013941492,-42.84281013941492,1876.9637295089938,-56.54219308845937,-56.54219308845937,1641.221230898984,-42.842810139288076,-55874.1312692504 kJ/mol
Non-binding_donor1_row10555_cand000359,openmm,350.49419178891674,AB,MP,P,M,MP_AB,M_P,-35.04863552498193,-35.04863552498193,2104.326173220402,-61.20528253281199,-61.20528253281199,1555.9401307440344,-35.04863552505998,-44204.61685635728 kJ/mol
Non-binding_donor1_row10556_cand000282,openmm,-357.3528637703197,AB,MP,P,M,MP_AB,M_P,-46.30178106927889,-46.30178106927889,2247.4768295889344,-50.81103645453828,-50.81103645453828,1589.799207951968,-46.30178106912234,-56124.39396824667 kJ/mol
Non-binding_donor1_row10602_cand000182,openmm,538.6925222780321,AB,MP,P,M,MP_AB,M_P,-48.74141703390853,-48.74141703390853,2031.4945919471354,-43.6154066389429,-43.6154066389429,1579.0609727663368,-48.7414170340395,-51256.2800264522 kJ/mol
Non-binding_donor1_row10611_cand000369,openmm,-379.45908665253165,AB,MP,P,M,MP_AB,M_P,-56.4763754387119,-56.4763754387119,2336.741833808525,-49.38449056687287,-49.38449056687287,1557.0395563034692,-56.47637543901902,-59676.71649801072 kJ/mol
Non-binding_donor1_row10783_cand000307,openmm,762.3638351997413,AB,MP,P,M,MP_AB,M_P,-55.424648747866286,-55.424648747866286,2162.0210258543693,-54.498509187308294,-54.498509187308294,1588.6069308763272,-55.42464874783889,-42683.02861178323 kJ/mol
