TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10876_cand000526,rosetta_sidechain,1323.8818260495977,AB,MP,P,M,MP_AB,M_P,-0.09567226463695988,-0.09567226463695988,168.40062166683344,426.30855872468624,426.30855872468624,640.9032621960489,-0.09567226473222945
Non-binding_donor1_row10466_cand000345,rosetta_sidechain,351.82529612079884,AB,MP,P,M,MP_AB,M_P,-4.426653574254715,-4.426653574254715,459.66544135705976,0.0,0.0,0.0,-4.42665357431332
Non-binding_donor1_row10018_cand000128,rosetta_sidechain,18536.453565412292,AB,MP,P,M,MP_AB,M_P,0.050667938361584675,0.050667938361584675,117.46557660919954,17132.33282745154,17132.33282745154,1315.283219353467,0.05066793876540032
Non-binding_donor1_row10210_cand000230,rosetta_sidechain,6931.1667983786465,AB,MP,P,M,MP_AB,M_P,101.24424325598739,101.24424325598739,117.23205931230163,5840.592866838619,5840.592866838619,872.1276618780056,101.24424325613381
Non-binding_donor1_row10885_cand000312,rosetta_sidechain,26842.00013236602,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.006873998621126809,0.006873998621126809,4.93651252739744,-0.2194262646480638
Non-binding_donor1_row11736_cand000161,rosetta_sidechain,4622.09799673454,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-1.000444171950221e-11
Non-binding_donor1_row11121_cand000340,rosetta_sidechain,3651.308216620659,AB,MP,P,M,MP_AB,M_P,186.23363926155707,186.23363926155707,329.72900630718914,3023.766122218513,3023.766122218513,543.412691866225,186.2336392613447
Non-binding_donor1_row11314_cand000515,rosetta_sidechain,11548.909132136883,AB,MP,P,M,MP_AB,M_P,1532.1643547556596,1532.1643547556596,522.6218178532213,9261.783051299548,9261.783051299548,908.8271422097674,1532.164354755938
Non-binding_donor1_row11954_cand000034,rosetta_sidechain,4237.505375307795,AB,MP,P,M,MP_AB,M_P,-2.404862233960557,-2.404862233960557,133.07759331040216,1741.1487253286125,1741.1487253286125,484.45066813915884,-2.4048622340787915
Non-binding_donor1_row12087_cand000450,rosetta_sidechain,3192.6828913145673,AB,MP,P,M,MP_AB,M_P,1.1868905858136714e-10,1.1868905858136714e-10,0.0,0.0034920751591016597,0.0034920751591016597,5.383130647454422,5.002220859751105e-12
Non-binding_donor1_row12278_cand000442,rosetta_sidechain,1441.1447373367275,AB,MP,P,M,MP_AB,M_P,-4.2261096897213974,-4.2261096897213974,252.47571482269336,74.95576133212381,74.95576133212381,1318.6875499941425,-4.226109689805753
Non-binding_donor1_row12267_cand000237,rosetta_sidechain,23392.769928502432,AB,MP,P,M,MP_AB,M_P,3850.485116643744,3850.485116643744,1643.8642256488831,-0.11944116502849766,-0.11944116502849766,79.84567168608697,3850.485116643704
Non-binding_donor1_row12048_cand000577,rosetta_sidechain,814.0415590930013,AB,MP,P,M,MP_AB,M_P,145.73194179835127,145.73194179835127,1175.3260656089878,741.6660319491139,741.6660319491139,1153.7316187373096,145.73194179869893
Non-binding_donor1_row12761_cand000519,rosetta_sidechain,680.0727490262661,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13
Non-binding_donor1_row12801_cand000552,rosetta_sidechain,38356.192810360444,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,51.63510416489355,51.63510416489355,128.19564365393154,-5.093170329928398e-11
Non-binding_donor1_row14545_cand000438,rosetta_sidechain,26422.774037606898,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,26459.162487537465,26459.162487537465,1352.7607752227866,-0.1507692538871197
Non-binding_donor1_row12804_cand000430,rosetta_sidechain,49243.98476355674,AB,MP,P,M,MP_AB,M_P,24211.718911060587,24211.718911060587,2083.1853335428077,357.87715353927115,357.87715353927115,238.94583713402542,24211.71891106109
