TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10209_cand000234,rosetta_sidechain,1582.947741930013,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,136.49417041744948,136.49417041744948,407.92944531313856,-5.229594535194337e-12
Non-binding_donor1_row10465_cand000347,rosetta_sidechain,4798.342260770568,AB,MP,P,M,MP_AB,M_P,-3.818982804659754e-06,-3.818982804659754e-06,0.0,-0.4974377836456654,-0.4974377836456654,89.81427097072113,-3.818829100055154e-06
Non-binding_donor1_row10875_cand000521,rosetta_sidechain,9857.67059307246,AB,MP,P,M,MP_AB,M_P,8571.437917472294,8571.437917472294,1115.7343813869347,1.8540813856654381,1.8540813856654381,66.69483296883881,8571.437917472134
Non-binding_donor1_row10884_cand000310,rosetta_sidechain,3826.253447761459,AB,MP,P,M,MP_AB,M_P,6.139089236967266e-11,6.139089236967266e-11,0.0,0.0,0.0,0.0,7.73070496506989e-12
Non-binding_donor1_row10017_cand000128,rosetta_sidechain,2786.5227137234174,AB,MP,P,M,MP_AB,M_P,-0.9380233744636826,-0.9380233744636826,168.91421388805378,-7.254105770104388,-7.254105770104388,1667.085265084288,-0.9380233743231656
Non-binding_donor1_row11120_cand000336,rosetta_sidechain,13866.272551111806,AB,MP,P,M,MP_AB,M_P,0.15141331488666765,0.15141331488666765,28.35849753734874,-1.915525932998662,-1.915525932998662,387.8803905313646,0.1514133146210952
Non-binding_donor1_row11735_cand000163,rosetta_sidechain,5346.306023476776,AB,MP,P,M,MP_AB,M_P,29.521535556714298,29.521535556714298,206.94475212055656,0.0,0.0,0.0,29.52153555697987
Non-binding_donor1_row11953_cand000034,rosetta_sidechain,2798.950420744174,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.8298306651631719,0.8298306651631719,217.86448603435755,-1.0459189070388675e-11
Non-binding_donor1_row11313_cand000528,rosetta_sidechain,658.8619245265356,AB,MP,P,M,MP_AB,M_P,-2.139425451016564,-2.139425451016564,600.0118733379034,-2.1720427157788436,-2.1720427157788436,1675.232888668637,-2.139425451017587
Non-binding_donor1_row12047_cand000576,rosetta_sidechain,5232.007871235008,AB,MP,P,M,MP_AB,M_P,4591.422158369858,4591.422158369858,1230.800657751927,28.839252798076018,28.839252798076018,377.26011633211135,4591.422158369878
Non-binding_donor1_row12277_cand000436,rosetta_sidechain,3020.8229035930867,AB,MP,P,M,MP_AB,M_P,-0.20914913599744978,-0.20914913599744978,81.72577914142981,1294.8969359001899,1294.8969359001899,623.5532155976346,-0.20914913620208608
Non-binding_donor1_row12086_cand000439,rosetta_sidechain,2242.805445132372,AB,MP,P,M,MP_AB,M_P,-6.423610168092182,-6.423610168092182,623.6829594957183,-22.952329044688554,-22.952329044688554,1804.4175910171264,-6.423610167992138
Non-binding_donor1_row12759_cand000529,rosetta_sidechain,1648.770158405825,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-1.1368683772161603e-12
Non-binding_donor1_row12266_cand000236,rosetta_sidechain,256.4949756019546,AB,MP,P,M,MP_AB,M_P,-1.2504540188069768,-1.2504540188069768,472.5842676390763,-26.354092675863967,-26.354092675863967,1718.347384843746,-1.2504540192341551
Non-binding_donor1_row12799_cand000548,rosetta_sidechain,3267.930832278162,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,79.94401524413723,79.94401524413723,312.58729772233073,4.547473508864641e-12
Non-binding_donor1_row13620_cand000277,rosetta_sidechain,434.9069173196039,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.04279797608279523,0.04279797608279523,21.199405170272712,1.8473499387673655
Non-binding_donor1_row14543_cand000435,rosetta_sidechain,179.47619943215727,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-9.947598300641403e-13
Non-binding_donor1_row12802_cand000431,rosetta_sidechain,909.5716239704053,AB,MP,P,M,MP_AB,M_P,593.9159479989881,593.9159479989881,599.7531612436253,-7.473152524514177,-7.473152524514177,1721.5300353983616,593.9159479996089
