TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10466_cand000353,none,31788.971641309217,AB,MP,P,M,MP_AB,M_P,9807.262687031394,9807.262687031394,1897.3848807302736,171.31161692975638,171.31161692975638,1707.2657619455488,9807.262687031329
Non-binding_donor1_row10018_cand000128,none,27628.083479611716,AB,MP,P,M,MP_AB,M_P,9975.182964487853,9975.182964487853,2046.9804329789474,159.88612538109237,159.88612538109237,1714.3246181144282,9975.182964487853
Non-binding_donor1_row11120_cand000336,none,23796.90037866651,AB,MP,P,M,MP_AB,M_P,9983.314572635307,9983.314572635307,1895.4613649971795,114.4009244715794,114.4009244715794,1694.871054159397,9983.314572635494
Non-binding_donor1_row10885_cand000310,none,24708.93293403015,AB,MP,P,M,MP_AB,M_P,13680.736215130892,13680.736215130892,2038.7116525164352,71.82358699685574,71.82358699685574,1797.4878659418384,13680.736215131314
Non-binding_donor1_row10876_cand000532,none,20698.726221101973,AB,MP,P,M,MP_AB,M_P,10556.6131719722,10556.6131719722,1756.3164021593698,141.3216538793563,141.3216538793563,1782.8160852582512,10556.613171972858
Non-binding_donor1_row10210_cand000233,none,24782.882964150813,AB,MP,P,M,MP_AB,M_P,10350.46659329228,10350.46659329228,1964.6079046298987,138.4907303431737,138.4907303431737,1782.0105498737946,10350.466593292458
Non-binding_donor1_row11313_cand000516,none,17605.625616909572,AB,MP,P,M,MP_AB,M_P,6155.307024291795,6155.307024291795,1818.6198160757758,113.25688066021257,113.25688066021257,1791.533989357925,6155.307024292157
Non-binding_donor1_row11735_cand000162,none,46514.0175523454,AB,MP,P,M,MP_AB,M_P,24879.364571866197,24879.364571866197,1806.9464567479822,37.73196428115625,37.73196428115625,1790.9145370998071,24879.364571866172
Non-binding_donor1_row12266_cand000237,none,12069.403137672836,AB,MP,P,M,MP_AB,M_P,4977.7104982172505,4977.7104982172505,1725.7570444352573,89.2022336786863,89.2022336786863,1772.5694123601702,4977.710498217488
Non-binding_donor1_row12086_cand000440,none,17488.12126632683,AB,MP,P,M,MP_AB,M_P,8787.579890130111,8787.579890130111,1994.2420361679642,137.50268349898488,137.50268349898488,1764.5125071118307,8787.579890129615
Non-binding_donor1_row12047_cand000578,none,11088.952424666591,AB,MP,P,M,MP_AB,M_P,5289.7704551459565,5289.7704551459565,1973.6879684278706,71.85583124226378,71.85583124226378,1755.7724955082979,5289.77045514546
Non-binding_donor1_row11953_cand000034,none,22235.478796333122,AB,MP,P,M,MP_AB,M_P,9549.576380292285,9549.576380292285,2033.6634078888328,51.38989563124642,51.38989563124642,1766.2905089274223,9549.576380291968
Non-binding_donor1_row12760_cand000519,none,20195.73091570031,AB,MP,P,M,MP_AB,M_P,7722.139559915595,7722.139559915595,1622.1727694988695,130.9349569589258,130.9349569589258,1778.7722194375312,7722.139559915629
Non-binding_donor1_row12277_cand000447,none,16422.925599185262,AB,MP,P,M,MP_AB,M_P,8634.24239166639,8634.24239166639,1702.945172232671,86.62051588266468,86.62051588266468,1763.6777510371871,8634.242391666989
Non-binding_donor1_row14543_cand000445,none,20675.678118609074,AB,MP,P,M,MP_AB,M_P,10450.433256111906,10450.433256111906,1873.3093901492439,135.6924125728624,135.6924125728624,1798.945526148009,10450.43325611177
Non-binding_donor1_row12800_cand000547,none,13133.74356071028,AB,MP,P,M,MP_AB,M_P,5497.836820106751,5497.836820106751,1968.1213377413712,26.440736097992385,26.440736097992385,1784.4292892073597,5497.836820106964
Non-binding_donor1_row13620_cand000272,none,16369.727855237514,AB,MP,P,M,MP_AB,M_P,10382.642227194008,10382.642227194008,1942.919023810159,197.71587941759117,197.71587941759117,1709.8428375488547,10382.642227194221
Non-binding_donor1_row12803_cand000432,none,13648.498188347288,AB,MP,P,M,MP_AB,M_P,5573.008077791047,5573.008077791047,1987.39799512342,27.131131798164233,27.131131798164233,1759.3036068658382,5573.008077791393
Non-binding_donor1_row14994_cand000357,none,14365.294813776587,AB,MP,P,M,MP_AB,M_P,3532.1885139195783,3532.1885139195783,1474.2941170279298,158.12911365843456,158.12911365843456,1767.9898157862967,3532.18851391964
Non-binding_donor1_row15212_cand000241,none,15681.73774845291,AB,MP,P,M,MP_AB,M_P,6721.568920132047,6721.568920132047,1844.2056137502361,46.232592063972334,46.232592063972334,1730.1802517511337,6721.568920132424
Non-binding_donor1_row15333_cand000345,none,15925.77782785141,AB,MP,P,M,MP_AB,M_P,7111.2127653034895,7111.2127653034895,1672.4685353580833,161.32934773314673,161.32934773314673,1746.1056365017678,7111.2127653037005
Non-binding_donor1_row15200_cand000201,none,18655.326626260874,AB,MP,P,M,MP_AB,M_P,7382.399091075455,7382.399091075455,1888.4372835440188,33.96638146672058,33.96638146672058,1769.2898300974086,7382.399091075209
Non-binding_donor1_row15217_cand000347,none,15226.507937415134,AB,MP,P,M,MP_AB,M_P,6292.438101231985,6292.438101231985,1888.9084060867733,39.06159296924852,39.06159296924852,1817.4695820425604,6292.438101231815
