TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10018_cand000412,openmm,407.7455108423424,AB,MP,P,M,MP_AB,M_P,-54.98732130927044,-54.98732130927044,2331.800837724204,-53.3366162867635,-53.3366162867635,1738.0842428859416,-54.98732130929557,-51157.02363541911 kJ/mol
Non-binding_donor1_row10127_cand000113,openmm,864.8513020699377,AB,MP,P,M,MP_AB,M_P,369.34778731323115,369.34778731323115,2111.605654520772,-69.56760123709563,-69.56760123709563,1923.5100239286953,369.34778731307216,-36505.00419424087 kJ/mol
Non-binding_donor1_row10203_cand000271,openmm,-199.91309717910536,AB,MP,P,M,MP_AB,M_P,-43.60037242835162,-43.60037242835162,2039.7697176511067,-59.98523767100824,-59.98523767100824,1764.503982148062,-43.60037242841898,-60259.86194362581 kJ/mol
Non-binding_donor1_row10176_cand000317,openmm,455.6335129899869,AB,MP,P,M,MP_AB,M_P,-51.074189738609334,-51.074189738609334,2048.6483239112854,-73.6599040861959,-73.6599040861959,1854.3188814373134,-51.074189738207,-48071.15842544568 kJ/mol
Non-binding_donor1_row10956_cand000296,openmm,20524.919450570636,AB,MP,P,M,MP_AB,M_P,9203.989984715818,9203.989984715818,2368.7661666076297,1056.5597495161392,1056.5597495161392,1800.9473800149526,9203.9899847161,2.599671388347949e+18 kJ/mol
Non-binding_donor1_row11148_cand000516,openmm,-78.47729235263091,AB,MP,P,M,MP_AB,M_P,-51.02419517018242,-51.02419517018242,2166.4065185443637,-61.18697185223006,-61.18697185223006,1809.4675266748468,-51.02419517001198,-56529.81177816256 kJ/mol
Non-binding_donor1_row11171_cand000357,openmm,-359.11904302911705,AB,MP,P,M,MP_AB,M_P,-38.30986501046402,-38.30986501046402,2029.8910377295356,-68.36890740551799,-68.36890740551799,1874.5617841213425,-38.309865010510464,-54610.948837064825 kJ/mol
Non-binding_donor1_row1118_cand000153,openmm,-155.4258968031611,AB,MP,P,M,MP_AB,M_P,-41.22868161474044,-41.22868161474044,1885.1970526381251,-64.83534271537508,-64.83534271537508,1767.549442066452,-41.228681614780854,-50383.70854626912 kJ/mol
Non-binding_donor1_row11213_cand000577,openmm,-207.79383890596193,AB,MP,P,M,MP_AB,M_P,-43.2704751644913,-43.2704751644913,1858.0017045704572,-61.5756379394913,-61.5756379394913,1858.6327147867319,-43.27047516471356,-57976.13317437554 kJ/mol
Non-binding_donor1_row11502_cand000452,openmm,-110.47091290834126,AB,MP,P,M,MP_AB,M_P,-41.65780211426981,-41.65780211426981,1941.874184392707,-61.57997344421334,-61.57997344421334,1825.0567920396227,-41.65780211459071,-55452.45983591711 kJ/mol
Non-binding_donor1_row11584_cand000078,openmm,-418.80326727602505,AB,MP,P,M,MP_AB,M_P,-51.70442294800432,-51.70442294800432,2343.3720293560955,-69.16970572278241,-69.16970572278241,1788.9819766826772,-51.70442294842246,-58145.99557292037 kJ/mol
Non-binding_donor1_row12104_cand000009,openmm,-317.3470154360169,AB,MP,P,M,MP_AB,M_P,-41.42511182759961,-41.42511182759961,2258.6788724485,-68.71747938167199,-68.71747938167199,1832.196336719076,-41.42511182741072,-59144.60970225805 kJ/mol
Non-binding_donor1_row12123_cand000318,openmm,13542.773773132187,AB,MP,P,M,MP_AB,M_P,6598.678856487648,6598.678856487648,2054.4877844664566,1541.8074197592819,1541.8074197592819,1905.3996420949422,6598.67885648753,57397964648568.57 kJ/mol
Non-binding_donor1_row12385_cand000594,openmm,-297.66731038783297,AB,MP,P,M,MP_AB,M_P,-64.56971503991883,-64.56971503991883,2397.647285536195,-61.987748450339595,-61.987748450339595,1874.9784213633595,-64.56971504007228,-55519.32616731661 kJ/mol
Non-binding_donor1_row12429_cand000178,openmm,-357.0230183262499,AB,MP,P,M,MP_AB,M_P,-40.35321406947128,-40.35321406947128,1743.6741523861542,-69.88857912866786,-69.88857912866786,1845.1272561935539,-40.35321406937345,-55560.81041022559 kJ/mol
Non-binding_donor1_row12543_cand000526,openmm,-255.71768673781148,AB,MP,P,M,MP_AB,M_P,-42.13949475665325,-42.13949475665325,2184.959143539517,-62.827575140486374,-62.827575140486374,1828.4343842361577,-42.1394947572816,-53483.91636167837 kJ/mol
Non-binding_donor1_row12603_cand000211,openmm,-288.83186989897087,AB,MP,P,M,MP_AB,M_P,-47.9183118236237,-47.9183118236237,2090.092974385294,-67.96331986219522,-67.96331986219522,1836.2063509093261,-47.91831182309946,-56137.918798418716 kJ/mol
Non-binding_donor1_row12670_cand000470,openmm,-128.67473003036852,AB,MP,P,M,MP_AB,M_P,-55.88384563321701,-55.88384563321701,2642.9857595140475,-55.9314887241326,-55.9314887241326,1656.180967638094,-55.88384563270695,-56567.80445026903 kJ/mol
Non-binding_donor1_row12844_cand000226,openmm,-331.0870703487528,AB,MP,P,M,MP_AB,M_P,-57.558881145085536,-57.558881145085536,2270.776897532871,-66.33577810986489,-66.33577810986489,1753.5791130877508,-57.55888114493001,-54947.5930760285 kJ/mol
Non-binding_donor1_row12923_cand000474,openmm,-425.8722209209194,AB,MP,P,M,MP_AB,M_P,-32.947949217066366,-32.947949217066366,1884.6106530375293,-70.18592255732003,-70.18592255732003,1920.5899174356928,-32.94794921690226,-57354.65710891489 kJ/mol
Non-binding_donor1_row12973_cand000423,openmm,-43.80681923630672,AB,MP,P,M,MP_AB,M_P,-53.69911328663675,-53.69911328663675,2230.198155321398,250.45683316097615,250.45683316097615,1897.9142584849508,-53.69911328664793,-46818.67902660264 kJ/mol
Non-binding_donor1_row13475_cand000502,openmm,-313.7656272379206,AB,MP,P,M,MP_AB,M_P,-52.67639350006556,-52.67639350006556,2204.208480701007,-66.71207942056182,-66.71207942056182,1839.662304510766,-52.676393500146446,-52466.809340741005 kJ/mol
Non-binding_donor1_row13699_cand000203,openmm,-342.99351383241844,AB,MP,P,M,MP_AB,M_P,-50.252474830731046,-50.252474830731046,1889.5785116782945,-61.09408380451299,-61.09408380451299,1941.844428468215,-50.2524748310077,-53813.62897161709 kJ/mol
Non-binding_donor1_row13851_cand000217,openmm,-217.01645323131055,AB,MP,P,M,MP_AB,M_P,-53.64257838050125,-53.64257838050125,2243.1430529439294,-61.51441628089008,-61.51441628089008,1893.9143516903248,-53.642578380484565,-52268.21536714285 kJ/mol
Non-binding_donor1_row14151_cand000414,openmm,-105.6061457751883,AB,MP,P,M,MP_AB,M_P,-35.20581793039851,-35.20581793039851,1786.552517148996,-64.3734174629823,-64.3734174629823,1865.385191980207,-35.2058179308827,-56361.530068695174 kJ/mol
Non-binding_donor1_row14221_cand000425,openmm,-52.26685427474591,AB,MP,P,M,MP_AB,M_P,-68.65858313441662,-68.65858313441662,2375.683658864117,-58.33482884367456,-58.33482884367456,1799.1025592385754,-68.65858313386465,-56035.178958009805 kJ/mol
Non-binding_donor1_row14299_cand000430,openmm,-253.34902326152604,AB,MP,P,M,MP_AB,M_P,-42.38060706643893,-42.38060706643893,1938.2922257762914,-67.8364551509329,-67.8364551509329,1910.6816134589512,-42.38060706658814,-56564.51902200714 kJ/mol
Non-binding_donor1_row14387_cand000209,openmm,-99.69336370531647,AB,MP,P,M,MP_AB,M_P,-32.09038325073119,-32.09038325073119,1915.2912995091297,-71.70939302491031,-71.70939302491031,1851.3062802509749,-32.090383250816046,-54039.64232551156 kJ/mol
Non-binding_donor1_row145_cand000319,openmm,-152.11038136024507,AB,MP,P,M,MP_AB,M_P,-41.30016455617165,-41.30016455617165,2088.041599709707,-69.62528088692798,-69.62528088692798,1783.9952219438792,-41.30016455630657,-48716.941014257616 kJ/mol
Non-binding_donor1_row14709_cand000140,openmm,339.8458135850917,AB,MP,P,M,MP_AB,M_P,-37.70717386101052,-37.70717386101052,1860.807045968867,-67.17960725209059,-67.17960725209059,1834.0008442682415,-37.707173860814066,-40619.235406442895 kJ/mol
Non-binding_donor1_row1476_cand000416,openmm,-274.2748990924813,AB,MP,P,M,MP_AB,M_P,-36.942256559570694,-36.942256559570694,2088.8176661793705,-69.24992433734499,-69.24992433734499,1807.354537998156,-36.9422565596941,-56258.121923522194 kJ/mol
Non-binding_donor1_row14785_cand000120,openmm,-353.72904249705516,AB,MP,P,M,MP_AB,M_P,-29.872475147847013,-29.872475147847013,1680.2181850878824,-76.86037403426252,-76.86037403426252,1887.6781506466086,-29.87247514782871,-57584.45338273706 kJ/mol
Non-binding_donor1_row14826_cand000112,openmm,-85.18701137197982,AB,MP,P,M,MP_AB,M_P,-39.07163097647876,-39.07163097647876,1763.7035353680026,-64.13510758001212,-64.13510758001212,1884.038557379783,-39.07163097636116,-58087.816373762216 kJ/mol
Non-binding_donor1_row1488_cand000221,openmm,-45.679050311197045,AB,MP,P,M,MP_AB,M_P,-51.65297915493756,-51.65297915493756,2164.7085536497602,-65.78911363368441,-65.78911363368441,1808.568519212673,-51.652979155094386,-54414.63707333109 kJ/mol
Non-binding_donor1_row14999_cand000509,openmm,-270.5248743110583,AB,MP,P,M,MP_AB,M_P,-46.7513514604463,-46.7513514604463,2082.9439971708607,-70.99013973171931,-70.99013973171931,1881.03372872638,-46.75135146074683,-58262.256563654664 kJ/mol
Non-binding_donor1_row15266_cand000019,openmm,452.32610627139877,AB,MP,P,M,MP_AB,M_P,258.76588999716523,258.76588999716523,2236.708528198056,-71.52284371656383,-71.52284371656383,1728.9951731890294,258.7658899973059,-45751.19300948585 kJ/mol
Non-binding_donor1_row15385_cand000542,openmm,-295.49189512598355,AB,MP,P,M,MP_AB,M_P,-47.815715043287724,-47.815715043287724,1932.4766335682687,-72.43164611515314,-72.43164611515314,1906.5172501066734,-47.81571504341855,-53456.459459788566 kJ/mol
Non-binding_donor1_row15422_cand000299,openmm,-298.5567622588221,AB,MP,P,M,MP_AB,M_P,-34.654028005709165,-34.654028005709165,1969.5854285162084,-64.03511568790333,-64.03511568790333,1934.380368903174,-34.65402800568961,-55705.280410071246 kJ/mol
