TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Binding_donor1_row3_cand000023,rosetta_sidechain,1792.1432546455753,AB,MP,P,M,MP_AB,M_P,261.2839005561573,261.2839005561573,339.1998687172301,0.0,0.0,0.0,261.2839005561216
Binding_donor1_row1_cand000006,rosetta_sidechain,20717.45994289069,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.7386379468786117,-0.7386379468786117,153.31109448752676,7.275957614183426e-12
Binding_donor1_row0_cand000019,rosetta_sidechain,9479.69809140942,AB,MP,P,M,MP_AB,M_P,0.11583733229235804,0.11583733229235804,33.77912561415488,4215.689188162767,4215.689188162767,1278.4249916299627,0.11583733235602267
Binding_donor1_row2_cand000007,rosetta_sidechain,29712.240903404385,AB,MP,P,M,MP_AB,M_P,1786.4265140431853,1786.4265140431853,545.7352829505523,19224.361688684796,19224.361688684796,1257.7186380948688,1786.4265140433927
Binding_donor1_row5_cand000002,rosetta_sidechain,7523.171202542723,AB,MP,P,M,MP_AB,M_P,5291.468336363127,5291.468336363127,563.4188891185888,0.0,0.0,0.0,5291.468336362928
Binding_donor1_row4_cand000025,rosetta_sidechain,1849.0835110822675,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,112.65951669785954,112.65951669785954,188.26548603488015,4.092726157978177e-12
Binding_donor1_row6_cand000013,rosetta_sidechain,2770.0667240972784,AB,MP,P,M,MP_AB,M_P,2098.8516082284464,2098.8516082284464,290.913597388574,0.0,0.0,0.0,2098.8516082286815
Binding_donor3_row11_cand000001,rosetta_sidechain,3749.35624458844,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,3034.312467580571,3034.312467580571,348.9884043221907,-0.9663138560758853
Binding_donor2_row8_cand000005,rosetta_sidechain,15440.978455456563,AB,MP,P,M,MP_AB,M_P,-22.837291614447167,-22.837291614447167,110.94902914549998,14840.853968719452,14840.853968719452,1112.8586450420275,-22.837291614348942
Binding_donor3_row12_cand000004,rosetta_sidechain,1011.1979557883384,AB,MP,P,M,MP_AB,M_P,303.2971503540458,303.2971503540458,260.8842224666113,0.0,0.0,0.0,303.2971503539934
Binding_donor3_row13_cand000011,rosetta_sidechain,9647.03791168062,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,6171.768917549993,6171.768917549993,738.9530825603248,5.4569682106375694e-12
Binding_donor3_row16_cand000016,rosetta_sidechain,4750.245796652862,AB,MP,P,M,MP_AB,M_P,446.881583230087,446.881583230087,255.58655089635346,0.0,0.0,0.0,446.8815832302753
Binding_donor3_row10_cand000010,rosetta_sidechain,111556.89413353225,AB,MP,P,M,MP_AB,M_P,104514.40769708525,104514.40769708525,4333.187685587453,-0.01784494776137535,-0.01784494776137535,304.091360718416,104514.40769708517
Binding_donor3_row17_cand000015,rosetta_sidechain,1459.4446017893442,AB,MP,P,M,MP_AB,M_P,0.032176911816350184,0.032176911816350184,23.084624501069186,0.0,0.0,0.0,0.03217691136865142
Binding_donor3_row14_cand000020,rosetta_sidechain,53071.97707139502,AB,MP,P,M,MP_AB,M_P,45682.59510200244,45682.59510200244,2837.1042731301523,5188.687796453463,5188.687796453463,544.0596039712409,45682.59510200207
Binding_donor3_row19_cand000018,rosetta_sidechain,14048.62812497019,AB,MP,P,M,MP_AB,M_P,74.84832495738556,74.84832495738556,173.62028865505565,0.0,0.0,0.0,74.84832495766386
Binding_donor3_row21_cand000024,rosetta_sidechain,970.4123641410018,AB,MP,P,M,MP_AB,M_P,230.73722460572196,230.73722460572196,624.3850007340408,-0.1385590233144285,-0.1385590233144285,66.97813481302252,230.73722460579245
Binding_donor3_row20_cand000014,rosetta_sidechain,6902.745874470574,AB,MP,P,M,MP_AB,M_P,-2.1623262644898205,-2.1623262644898205,188.81187493200008,6520.952094005591,6520.952094005591,1128.0031151861872,-2.1623262645707655
Binding_donor3_row9_cand000017,rosetta_sidechain,690.469725263448,AB,MP,P,M,MP_AB,M_P,2.7093319155974314,2.7093319155974314,256.077671033827,-4.9500914712134545,-4.9500914712134545,1887.0013662618176,2.709331915680991
Binding_donor4_row23_cand000008,rosetta_sidechain,1398.2952258883877,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-1.8189894035458565e-12
Binding_donor4_row22_cand000003,rosetta_sidechain,4544.938177863374,AB,MP,P,M,MP_AB,M_P,1.6825651982799172e-10,1.6825651982799172e-10,0.0,1775.6524702388665,1775.6524702388665,417.4232297140221,-7.275957614183426e-12
Binding_donor4_row24_cand000012,rosetta_sidechain,24170.140310051967,AB,MP,P,M,MP_AB,M_P,8237.739530454015,8237.739530454015,644.9632238309813,15546.831386161766,15546.831386161766,1410.7322276366099,8237.739530454131
Binding_donor4_row25_cand000009,rosetta_sidechain,1344.664842886118,AB,MP,P,M,MP_AB,M_P,-0.1786956816761176,-0.1786956816761176,51.67417260330633,0.0021713933950877617,0.0021713933950877617,0.0,-0.17869568124319812
