TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Binding_donor1_row3_cand000002,rosetta_sidechain,3542.569263061894,AB,MP,P,M,MP_AB,M_P,0.14675122601283874,0.14675122601283874,132.9004462698342,0.0,0.0,0.0,0.14675122608969104
Binding_donor1_row0_cand000011,rosetta_sidechain,571.8590120605796,AB,MP,P,M,MP_AB,M_P,-3.2973184953186774,-3.2973184953186774,415.0786474811197,-15.537016924276827,-15.537016924276827,1642.4423718419444,-3.2973184951584926
Binding_donor2_row6_cand000013,rosetta_sidechain,5937.029172554192,AB,MP,P,M,MP_AB,M_P,1715.272756224922,1715.272756224922,849.4945036338046,3894.2761883398584,3894.2761883398584,577.5114997431941,1715.2727562253576
Binding_donor2_row5_cand000005,rosetta_sidechain,1984.984773648081,AB,MP,P,M,MP_AB,M_P,-0.24619866546481717,-0.24619866546481717,305.78566430010096,-16.01321088939369,-16.01321088939369,1486.1384720803053,-0.24619866618877495
Binding_donor2_row7_cand000010,rosetta_sidechain,3971.4868856336766,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,2511.9998020152134,2511.9998020152134,650.4749580947416,-3.183231456205249e-12
Binding_donor3_row10_cand000004,rosetta_sidechain,5324.964447807663,AB,MP,P,M,MP_AB,M_P,3429.878517294861,3429.878517294861,829.1700126250093,0.0,0.0,0.0,3429.8785172950893
Binding_donor2_row8_cand000009,rosetta_sidechain,21124.53294260366,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,5.254390178228732,5.254390178228732,530.7202076386261,7.275957614183426e-12
Binding_donor3_row11_cand000012,rosetta_sidechain,18219.378418931567,AB,MP,P,M,MP_AB,M_P,139.20481956762887,139.20481956762887,189.4874957639566,15681.754232071173,15681.754232071173,1076.4462364656335,139.20481956751246
Binding_donor3_row12_cand000003,rosetta_sidechain,5951.536701229515,AB,MP,P,M,MP_AB,M_P,5424.958973983886,5424.958973983886,1453.9237432523544,-19.777899681387794,-19.777899681387794,1445.191077545718,5424.958973984342
Binding_donor3_row9_cand000008,rosetta_sidechain,997.6762653506835,AB,MP,P,M,MP_AB,M_P,-0.8945824205363806,-0.8945824205363806,200.92352134155405,-8.606235574471611,-8.606235574471611,758.3684587113223,-0.8945824207775104
