TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10128_cand000297,none,12578.874198433647,AB,MP,P,M,MP_AB,M_P,5480.525526023013,5480.525526023013,1868.1904325373712,695.5810916978612,695.5810916978612,2136.066250061999,5480.52552602315
Non-binding_donor1_row10106_cand000280,none,22577.931864578793,AB,MP,P,M,MP_AB,M_P,10014.186827052778,10014.186827052778,2236.404313430924,578.3367743398629,578.3367743398629,2173.883485788852,10014.186827052532
Non-binding_donor1_row10018_cand000412,none,25615.476836832964,AB,MP,P,M,MP_AB,M_P,7849.109523158844,7849.109523158844,2093.353039988509,586.5788484604304,586.5788484604304,2180.1101999984558,7849.109523158862
Non-binding_donor1_row10013_cand000261,none,31341.449069292703,AB,MP,P,M,MP_AB,M_P,13948.315523174126,13948.315523174126,2296.2220759687516,579.4923917699866,579.4923917699866,2164.650500120329,13948.315523173831
Non-binding_donor1_row1043_cand000260,none,12011.659025686682,AB,MP,P,M,MP_AB,M_P,6680.414703417028,6680.414703417028,2038.209959562203,541.5669923052149,541.5669923052149,2131.682021766084,6680.414703417158
Non-binding_donor1_row10308_cand000322,none,16935.204507829214,AB,MP,P,M,MP_AB,M_P,7264.900070588252,7264.900070588252,2230.260157173447,1480.1597348308505,1480.1597348308505,2131.5769839731897,7264.9000705880735
Non-binding_donor1_row1022_cand000225,none,1134038.7010934288,AB,MP,P,M,MP_AB,M_P,30359.49659700808,30359.49659700808,1150.4157025980305,9439.80377590144,9439.80377590144,1816.121024307186,30359.49659700878
Non-binding_donor1_row10315_cand000120,none,31337.580448560435,AB,MP,P,M,MP_AB,M_P,10848.514754122934,10848.514754122934,2249.7371007834363,2864.0748209520566,2864.0748209520566,2044.0287399049935,10848.514754123375
Non-binding_donor1_row10910_cand000073,none,22438.711031506184,AB,MP,P,M,MP_AB,M_P,6017.231705463808,6017.231705463808,1913.5828781530506,399.8875126661221,399.8875126661221,2180.9864483671836,6017.231705463659
Non-binding_donor1_row1096_cand000564,none,14588.583781380494,AB,MP,P,M,MP_AB,M_P,6726.918259122326,6726.918259122326,1854.0286293041977,1006.9909325610515,1006.9909325610515,2038.5661773840259,6726.918259122262
