TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10000_cand000262,openmm,617.4538443712775,AB,MP,P,M,MP_AB,M_P,-46.23699536265042,-46.23699536265042,2004.804667959788,-47.77122534241699,-47.77122534241699,1737.1382201322288,-46.23699536239428,-44793.07849559146 kJ/mol
Non-binding_donor1_row10156_cand000420,openmm,-272.4586540967287,AB,MP,P,M,MP_AB,M_P,-55.60531624916632,-55.60531624916632,2474.5560412693285,-52.94412310581006,-52.94412310581006,1866.2108490716832,-55.60531624900028,-54965.525697138735 kJ/mol
Non-binding_donor1_row10327_cand000342,openmm,-175.0782551819476,AB,MP,P,M,MP_AB,M_P,-33.369998519860786,-33.369998519860786,1826.627153973359,-52.720944147499196,-52.720944147499196,1991.9693227151492,-33.36999851991612,-54118.17496885045 kJ/mol
Non-binding_donor1_row10336_cand000547,openmm,-238.94238001028333,AB,MP,P,M,MP_AB,M_P,-38.268906332005685,-38.268906332005685,2182.719242276639,-49.11124936988518,-49.11124936988518,1889.4590380732307,-38.268906332161265,-51683.632262517785 kJ/mol
Non-binding_donor1_row10577_cand000416,openmm,-198.6060062901426,AB,MP,P,M,MP_AB,M_P,-34.29280567878152,-34.29280567878152,2017.3390408711941,-47.491914431021684,-47.491914431021684,1899.0374903353834,-34.29280567876282,-56060.72766920896 kJ/mol
Non-binding_donor1_row10606_cand000061,openmm,-260.04056400082914,AB,MP,P,M,MP_AB,M_P,-49.43886086722665,-49.43886086722665,2254.219191629766,-57.939953513372856,-57.939953513372856,1940.1855977339496,-49.43886086743021,-57623.100589665046 kJ/mol
Non-binding_donor1_row10964_cand000331,openmm,503.25923635933196,AB,MP,P,M,MP_AB,M_P,-49.262588864043096,-49.262588864043096,2252.228182075243,-48.47811769027571,-48.47811769027571,1939.1186197845639,-49.262588863674125,-44858.49334800445 kJ/mol
Non-binding_donor1_row11008_cand000325,openmm,-271.74218225312126,AB,MP,P,M,MP_AB,M_P,-49.13389849343733,-49.13389849343733,2162.6662624433025,-54.668263512080486,-54.668263512080486,1927.367775595001,-49.133898493743345,-55661.38411625445 kJ/mol
Non-binding_donor1_row11424_cand000294,openmm,-232.92661563135357,AB,MP,P,M,MP_AB,M_P,-26.5217902175431,-26.5217902175431,1411.26031772615,-57.46613076324239,-57.46613076324239,1879.8643503705248,-26.521790217388002,-55782.65569221195 kJ/mol
Non-binding_donor1_row11477_cand000218,openmm,-153.2173682858174,AB,MP,P,M,MP_AB,M_P,-38.74206568162681,-38.74206568162681,1979.1134446414885,-51.71108291304188,-51.71108291304188,1912.531972746821,-38.74206568172049,-53123.86166057052 kJ/mol
Non-binding_donor1_row11510_cand000025,openmm,-179.99968381685963,AB,MP,P,M,MP_AB,M_P,-38.83011451878036,-38.83011451878036,2089.324486523093,-43.94589357422884,-43.94589357422884,1925.9284374674662,-38.83011451895584,-51973.17972453733 kJ/mol
Non-binding_donor1_row11754_cand000079,openmm,98.0540824365502,AB,MP,P,M,MP_AB,M_P,254.45122721036142,254.45122721036142,1973.9463779984114,-53.609495596278315,-53.609495596278315,2090.878318249559,254.45122720980737,-45978.62920031877 kJ/mol
Non-binding_donor1_row11820_cand000250,openmm,-250.1359275997748,AB,MP,P,M,MP_AB,M_P,-35.666717293105336,-35.666717293105336,2217.5727848213023,-53.25467225404323,-53.25467225404323,1947.648586830383,-35.66671729345276,-52838.93077369576 kJ/mol
Non-binding_donor1_row12002_cand000148,openmm,-204.4219307767143,AB,MP,P,M,MP_AB,M_P,-43.96281686654794,-43.96281686654794,2158.4875796341407,-46.08398887931581,-46.08398887931581,1958.886405061105,-43.96281686659603,-50922.37381339524 kJ/mol
Non-binding_donor1_row12109_cand000074,openmm,-180.55386186566324,AB,MP,P,M,MP_AB,M_P,-54.31101207800798,-54.31101207800798,2186.402895410805,-56.88353750475826,-56.88353750475826,1914.2471427093406,-54.31101207798285,-51098.26140680566 kJ/mol
Non-binding_donor1_row12132_cand000446,openmm,66.33340322304132,AB,MP,P,M,MP_AB,M_P,332.3695132666395,332.3695132666395,1924.9641469342487,-56.28399198081989,-56.28399198081989,1986.8030472880005,332.3695132664233,-45535.8000806964 kJ/mol
Non-binding_donor1_row12151_cand000107,openmm,55.303251072450664,AB,MP,P,M,MP_AB,M_P,301.19189123449627,301.19189123449627,1874.9234396134118,-72.158622887183,-72.158622887183,2048.6804612405786,301.1918912346188,-49428.54223262881 kJ/mol
Non-binding_donor1_row12258_cand000233,openmm,-201.9007860199054,AB,MP,P,M,MP_AB,M_P,-46.81264684560912,-46.81264684560912,2384.369836756499,-46.720773040452954,-46.720773040452954,1866.5720158715628,-46.8126468460697,-54267.487927878545 kJ/mol
Non-binding_donor1_row12548_cand000564,openmm,-87.50416597095216,AB,MP,P,M,MP_AB,M_P,-23.142334811431596,-23.142334811431596,1093.5363686318408,-53.63807905956213,-53.63807905956213,1865.1211275428896,-23.14233481214643,-54306.64430699147 kJ/mol
Non-binding_donor1_row1259_cand000421,openmm,-163.9612858019913,AB,MP,P,M,MP_AB,M_P,-29.274088215034027,-29.274088215034027,1711.358822780118,-65.59163103979961,-65.59163103979961,2027.7296995540542,-29.274088215086778,-53401.69516645975 kJ/mol
Non-binding_donor1_row1267_cand000487,openmm,-193.95614665722377,AB,MP,P,M,MP_AB,M_P,-39.25091254149709,-39.25091254149709,2065.4569461046735,-65.2008985036094,-65.2008985036094,1935.8442967806145,-39.2509125410412,-54549.93237053341 kJ/mol
Non-binding_donor1_row12719_cand000464,openmm,-252.7491110633324,AB,MP,P,M,MP_AB,M_P,-33.258228418202265,-33.258228418202265,1748.4825422324166,-52.59014322901662,-52.59014322901662,1944.4096978887587,-33.258228418674435,-53397.736615619266 kJ/mol
Non-binding_donor1_row12925_cand000378,openmm,-233.53166490742618,AB,MP,P,M,MP_AB,M_P,-27.530723694833455,-27.530723694833455,1823.6974132628861,-53.27429361514365,-53.27429361514365,1865.5286968298149,-27.530723694978093,-53164.764094147526 kJ/mol
Non-binding_donor1_row12729_cand000543,openmm,-280.80390556862767,AB,MP,P,M,MP_AB,M_P,-31.888487923341643,-31.888487923341643,1800.1473055718006,-66.22673023817461,-66.22673023817461,1940.3239131379155,-31.888487923416506,-52090.106654506526 kJ/mol
Non-binding_donor1_row1347_cand000384,openmm,-264.8825590481753,AB,MP,P,M,MP_AB,M_P,-37.60140908655194,-37.60140908655194,1755.9364866448152,-55.05145478356851,-55.05145478356851,1874.0819426893465,-37.601409086511865,-51611.652179024335 kJ/mol
Non-binding_donor1_row13509_cand000164,openmm,180.82063478050867,AB,MP,P,M,MP_AB,M_P,208.31329022872515,208.31329022872515,2144.5777709168788,-62.45082928923185,-62.45082928923185,1838.3297572623967,208.3132902285039,-44974.13564354161 kJ/mol
Non-binding_donor1_row13565_cand000406,openmm,4058.571837313804,AB,MP,P,M,MP_AB,M_P,-23.30328654367395,-23.30328654367395,1189.4136419283286,-11.346916334241541,-11.346916334241541,1618.7242626355708,-23.303286543663944,-10609.953684894017 kJ/mol
Non-binding_donor1_row14003_cand000332,openmm,5622.770305024418,AB,MP,P,M,MP_AB,M_P,-21.580596109774888,-21.580596109774888,1802.1581032815322,-13.878929589359359,-13.878929589359359,1703.7901986003349,-21.580596109684848,3946.502557968352 kJ/mol
Non-binding_donor1_row14075_cand000568,openmm,-76.97085440364765,AB,MP,P,M,MP_AB,M_P,-34.679462882153246,-34.679462882153246,1916.0129504912247,-55.32605640713541,-55.32605640713541,1901.5883704858716,-34.67946288210882,-53319.49809508658 kJ/mol
Non-binding_donor1_row14098_cand000358,openmm,-144.28156037719583,AB,MP,P,M,MP_AB,M_P,-41.639631065925926,-41.639631065925926,2001.141811393288,-49.79446115146069,-49.79446115146069,1928.8235430885613,-41.63963106609221,-50211.82074418356 kJ/mol
Non-binding_donor1_row14282_cand000170,openmm,-246.66180416138764,AB,MP,P,M,MP_AB,M_P,-37.54554239720014,-37.54554239720014,1965.7315476023323,-59.24520457367366,-59.24520457367366,1872.725271112205,-37.54554239755757,-53983.840994218735 kJ/mol
Non-binding_donor1_row1451_cand000583,openmm,-154.12529507228766,AB,MP,P,M,MP_AB,M_P,-38.37704699803071,-38.37704699803071,1908.9667770482433,-53.29450716811209,-53.29450716811209,1862.0750237919308,-38.3770469974409,-50369.04243831106 kJ/mol
Non-binding_donor1_row14630_cand000496,openmm,-139.3612060333315,AB,MP,P,M,MP_AB,M_P,-41.17070455413241,-41.17070455413241,1759.4581732243946,-57.522552149923314,-57.522552149923314,1952.7251368199413,-41.17070455412444,-54891.133926219285 kJ/mol
Non-binding_donor1_row14737_cand000210,openmm,-319.3348523253952,AB,MP,P,M,MP_AB,M_P,-23.376155016982864,-23.376155016982864,1759.3635220798044,-63.559734065464056,-63.559734065464056,1788.5712890741552,-23.376155017289875,-54250.55019356836 kJ/mol
Non-binding_donor1_row14774_cand000054,openmm,-249.37796218751515,AB,MP,P,M,MP_AB,M_P,-38.408194691655524,-38.408194691655524,1960.9560164881198,-60.23842033881229,-60.23842033881229,1955.777756466774,-38.408194691390804,-56367.62226575008 kJ/mol
Non-binding_donor1_row1481_cand000160,openmm,119.8881149951109,AB,MP,P,M,MP_AB,M_P,327.2912464806222,327.2912464806222,1913.7766717561733,-61.87528671257033,-61.87528671257033,2055.2961899479046,327.2912464805514,-48788.178697440606 kJ/mol
