TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row0_cand000319,openmm,-291.41889814968675,AB,MP,P,M,MP_AB,M_P,-51.091714947093834,-51.091714947093834,2198.117622920379,-55.91526769904064,-55.91526769904064,1938.1534604652293,-51.091714947062314,-49879.11675084209 kJ/mol
Binding_donor1_row100_cand000120,openmm,186.4402633493362,AB,MP,P,M,MP_AB,M_P,-37.926854783715726,-37.926854783715726,1848.3208053597207,-56.390199050369574,-56.390199050369574,1999.2116246239411,-37.92685478373136,-47391.955414392694 kJ/mol
Binding_donor1_row102_cand000258,openmm,-243.90651729440657,AB,MP,P,M,MP_AB,M_P,-48.91459212521289,-48.91459212521289,2060.3560313187577,-65.2592234819885,-65.2592234819885,1952.8297091917025,-48.914592124896956,-56053.75573416656 kJ/mol
Binding_donor1_row101_cand000268,openmm,-187.48740214521973,AB,MP,P,M,MP_AB,M_P,-43.49755388541567,-43.49755388541567,2148.2165109116268,-57.30050214019579,-57.30050214019579,1992.975415823206,-43.497553884977776,-52349.2547843381 kJ/mol
Binding_donor1_row104_cand000259,openmm,-386.53328894616743,AB,MP,P,M,MP_AB,M_P,-49.998192017172755,-49.998192017172755,1875.8194683803295,-59.034459868307806,-59.034459868307806,1961.1910696747598,-49.998192017019505,-56097.49791552434 kJ/mol
Binding_donor1_row103_cand000011,openmm,-188.5916443221554,AB,MP,P,M,MP_AB,M_P,-46.91662554644597,-46.91662554644597,2118.772278953197,-59.83198569817989,-59.83198569817989,2009.5205398416576,-46.91662554639984,-59111.68440637563 kJ/mol
Binding_donor1_row105_cand000260,openmm,-254.28497552126493,AB,MP,P,M,MP_AB,M_P,-41.55976264919008,-41.55976264919008,1971.1944436751123,-61.040043408670925,-61.040043408670925,2030.3776432820107,-41.55976264938474,-55841.6767945086 kJ/mol
Binding_donor1_row10_cand000287,openmm,-13.114112939853086,AB,MP,P,M,MP_AB,M_P,-35.77828453244005,-35.77828453244005,1883.8837427966218,-56.27245704959689,-56.27245704959689,1944.9757042866713,-35.77828453237387,-57497.28556024152 kJ/mol
Binding_donor1_row11_cand000288,openmm,-304.4202185921258,AB,MP,P,M,MP_AB,M_P,-35.45332043114388,-35.45332043114388,1790.7742591700598,-64.31591132837656,-64.31591132837656,1972.3807400891833,-35.453320431135126,-61931.26200062173 kJ/mol
Binding_donor1_row12_cand000320,openmm,-241.70568653824273,AB,MP,P,M,MP_AB,M_P,-35.947847573066696,-35.947847573066696,1728.8712237840623,-61.07759167820662,-61.07759167820662,1999.711533463826,-35.94784757313772,-61554.5915592662 kJ/mol
Binding_donor1_row13_cand000332,openmm,-200.58940137609068,AB,MP,P,M,MP_AB,M_P,-48.822102659139404,-48.822102659139404,2189.0959229325917,-60.78028836506884,-60.78028836506884,1894.362032521971,-48.82210265923118,-55573.93923454518 kJ/mol
Binding_donor1_row14_cand000333,openmm,-59.8036979302336,AB,MP,P,M,MP_AB,M_P,-40.9241750392129,-40.9241750392129,2334.031709817085,-46.63138116585139,-46.63138116585139,1768.7346214698016,-40.924175039175935,-57361.09419514147 kJ/mol
Binding_donor1_row15_cand000334,openmm,-109.42578667190527,AB,MP,P,M,MP_AB,M_P,-47.29950017698169,-47.29950017698169,2136.6511525579467,-65.93252183538208,-65.93252183538208,1939.4014717216512,-47.29950017661642,-52276.32002866126 kJ/mol
Binding_donor1_row16_cand000335,openmm,-235.08972505537008,AB,MP,P,M,MP_AB,M_P,-27.689347834747338,-27.689347834747338,1830.549141513157,-55.220352546450826,-55.220352546450826,1939.499970347615,-27.689347834558163,-58851.63472744219 kJ/mol
Binding_donor1_row17_cand000283,openmm,-232.88092712596364,AB,MP,P,M,MP_AB,M_P,-36.985991640054294,-36.985991640054294,1926.075223536068,-62.23382888705726,-62.23382888705726,2002.4618155420992,-36.98599164026052,-55105.45388991432 kJ/mol
Binding_donor1_row18_cand000337,openmm,209.6792656111444,AB,MP,P,M,MP_AB,M_P,-42.505395954573885,-42.505395954573885,2018.355272402951,-57.69775789974828,-57.69775789974828,1888.5847832583595,-42.505395954250275,-48421.12027255691 kJ/mol
Binding_donor1_row19_cand000013,openmm,-216.00724739446406,AB,MP,P,M,MP_AB,M_P,-35.98035455032041,-35.98035455032041,1498.7435890040592,-67.38471367990336,-67.38471367990336,1925.2250852929503,-35.98035455029989,-53240.76318563822 kJ/mol
Binding_donor1_row1_cand000331,openmm,37.5744197313451,AB,MP,P,M,MP_AB,M_P,-35.30468528937354,-35.30468528937354,1884.4661863175786,-56.22423280866816,-56.22423280866816,1998.6888713634028,-35.304685289192136,-57606.51234042822 kJ/mol
Binding_donor1_row20_cand000338,openmm,-226.92230735301587,AB,MP,P,M,MP_AB,M_P,-39.04912860487738,-39.04912860487738,1811.904169208028,-68.79175814740844,-68.79175814740844,1984.354133150923,-39.0491286048628,-52619.834860316885 kJ/mol
Binding_donor1_row21_cand000339,openmm,-272.1571937614248,AB,MP,P,M,MP_AB,M_P,-58.29976702411503,-58.29976702411503,2008.9980580767808,-52.81448575995008,-52.81448575995008,1930.3053508945613,-58.29976702418557,-59905.67069401109 kJ/mol
Binding_donor1_row22_cand000340,openmm,-25.203230525331435,AB,MP,P,M,MP_AB,M_P,-45.36273691161746,-45.36273691161746,1756.324996936309,-45.828744400268825,-45.828744400268825,1937.4723399068746,-45.36273691154905,-60270.87868127566 kJ/mol
Binding_donor1_row23_cand000352,openmm,-97.15922950337938,AB,MP,P,M,MP_AB,M_P,-33.49353206185753,-33.49353206185753,1736.9194411712365,-62.338532320773915,-62.338532320773915,2050.0665241623233,-33.49353206149971,-54838.620188302586 kJ/mol
Binding_donor1_row24_cand000026,openmm,-386.9454245276119,AB,MP,P,M,MP_AB,M_P,-32.743262536909185,-32.743262536909185,1720.720993841364,-65.35659128530726,-65.35659128530726,1889.939678478173,-32.74326253685393,-53781.437984662676 kJ/mol
Binding_donor1_row25_cand000038,openmm,-102.15587564888594,AB,MP,P,M,MP_AB,M_P,-29.352663366675245,-29.352663366675245,1779.1300119341897,-71.28599137939759,-71.28599137939759,1976.9935677320154,-29.35266336651121,-58338.30547273859 kJ/mol
Binding_donor1_row26_cand000342,openmm,-301.5021302422637,AB,MP,P,M,MP_AB,M_P,-32.07264096258916,-32.07264096258916,1485.131533457188,-58.49908834297453,-58.49908834297453,1953.9876226736264,-32.07264096228488,-55851.94613016559 kJ/mol
Binding_donor1_row27_cand000019,openmm,-185.04151001495245,AB,MP,P,M,MP_AB,M_P,-37.09069942753061,-37.09069942753061,1493.3229609272528,-57.25599788973757,-57.25599788973757,1939.2130304615685,-37.09069942721328,-56974.23448291139 kJ/mol
Binding_donor1_row28_cand000343,openmm,2311.4630888304278,AB,MP,P,M,MP_AB,M_P,-33.00979731597272,-33.00979731597272,1630.4786983248835,-19.767899637504797,-19.767899637504797,1255.5379073721435,-33.00979731579173,-45529.23240986177 kJ/mol
Binding_donor1_row29_cand000344,openmm,-34.0972203485845,AB,MP,P,M,MP_AB,M_P,-42.13619081451153,-42.13619081451153,1801.4698385087736,-57.180193932205796,-57.180193932205796,1880.4631069022234,-42.136190814948435,-57344.37360009247 kJ/mol
Binding_donor1_row2_cand000321,openmm,-257.30755243739304,AB,MP,P,M,MP_AB,M_P,-38.612845887391614,-38.612845887391614,2077.6241560405924,-62.972644921483734,-62.972644921483734,2000.3336774075015,-38.61284588718016,-53370.467213772805 kJ/mol
Binding_donor1_row36_cand000161,openmm,45.24621035097104,AB,MP,P,M,MP_AB,M_P,-61.201554695370895,-61.201554695370895,1932.2065108991915,-61.382738194448514,-61.382738194448514,1905.2158162611036,-61.201554695517615,-58043.563746448424 kJ/mol
Binding_donor1_row37_cand000162,openmm,-268.70425722207193,AB,MP,P,M,MP_AB,M_P,-32.533226381594574,-32.533226381594574,1814.729415116929,-65.59500660737459,-65.59500660737459,1937.3685277229663,-32.533226381355036,-58431.79029854881 kJ/mol
Binding_donor1_row38_cand000163,openmm,-233.85140919867106,AB,MP,P,M,MP_AB,M_P,-39.71726830391566,-39.71726830391566,2031.834225262554,-54.83116027466025,-54.83116027466025,1921.1245389351448,-39.71726830420724,-60844.862305875075 kJ/mol
Binding_donor1_row39_cand000164,openmm,-156.3701271035684,AB,MP,P,M,MP_AB,M_P,-44.487695457073016,-44.487695457073016,2133.6234329417757,-61.20100531777452,-61.20100531777452,1981.5059419801214,-44.487695457072675,-60781.29655997792 kJ/mol
Binding_donor1_row3_cand000322,openmm,-275.53018215732834,AB,MP,P,M,MP_AB,M_P,-42.693010523789724,-42.693010523789724,1925.111251040626,-67.91915836324266,-67.91915836324266,1922.4497480436373,-42.693010524056206,-53786.261143169 kJ/mol
Binding_donor1_row40_cand000039,openmm,-73.83299611754356,AB,MP,P,M,MP_AB,M_P,-24.956268940734645,-24.956268940734645,1816.9067637794155,-56.08980077863521,-56.08980077863521,1991.9189641484647,-24.95626894046886,-56527.537966769254 kJ/mol
Binding_donor1_row41_cand000165,openmm,140.5355294120579,AB,MP,P,M,MP_AB,M_P,314.6228151763971,314.6228151763971,2204.3001996924545,-57.27774554448359,-57.27774554448359,1936.6105040792595,314.62281517586814,-51579.73163861681 kJ/mol
Binding_donor1_row42_cand000016,openmm,469.4271638251002,AB,MP,P,M,MP_AB,M_P,-38.12907074278809,-38.12907074278809,2075.617647962311,-63.660610108558686,-63.660610108558686,1944.5172411987573,-38.129070742524675,-51766.38541102724 kJ/mol
Binding_donor1_row43_cand000065,openmm,616.867243765892,AB,MP,P,M,MP_AB,M_P,-45.24195641260144,-45.24195641260144,2046.0786717750648,-62.52838442371447,-62.52838442371447,1953.6889464179872,-45.24195641260462,-42084.85071906923 kJ/mol
Binding_donor1_row44_cand000089,openmm,-41.343364905859715,AB,MP,P,M,MP_AB,M_P,-54.63853225189796,-54.63853225189796,2484.5042938933934,-50.80953039604139,-50.80953039604139,1852.4972929325354,-54.638532251990256,-55270.82000227888 kJ/mol
Binding_donor1_row45_cand000066,openmm,-271.51617803726276,AB,MP,P,M,MP_AB,M_P,-26.147744777141895,-26.147744777141895,1784.3889682231304,-62.68850778818772,-62.68850778818772,1876.2220266330478,-26.147744777215564,-58102.12796769636 kJ/mol
Binding_donor1_row46_cand000077,openmm,-218.5846421715476,AB,MP,P,M,MP_AB,M_P,-52.59313782447012,-52.59313782447012,1973.855644148364,-58.385156961196785,-58.385156961196785,1977.2618364735756,-52.59313782420003,-56540.26947237027 kJ/mol
Binding_donor1_row47_cand000108,openmm,27.578465592996338,AB,MP,P,M,MP_AB,M_P,-59.77205203656172,-59.77205203656172,2305.0511226351923,-51.38296879800038,-51.38296879800038,1949.6901488770636,-59.77205203575373,-56178.02965297221 kJ/mol
Binding_donor1_row48_cand000109,openmm,-175.56413401637138,AB,MP,P,M,MP_AB,M_P,-63.72699123067538,-63.72699123067538,2372.4443355294347,-62.4527796495462,-62.4527796495462,1967.8775966935657,-63.72699123066822,-56716.52898442124 kJ/mol
Binding_donor1_row49_cand000110,openmm,-199.39589874376446,AB,MP,P,M,MP_AB,M_P,-49.020521576606995,-49.020521576606995,2144.8602815451354,-54.913855060923424,-54.913855060923424,1886.373513152234,-49.02052157625354,-63109.33691390974 kJ/mol
Binding_donor1_row4_cand000323,openmm,-343.52908351224573,AB,MP,P,M,MP_AB,M_P,-38.51098135498955,-38.51098135498955,1984.6536704356597,-64.93196899282503,-64.93196899282503,2075.9635722200564,-38.510981355056856,-59551.920627467574 kJ/mol
Binding_donor1_row50_cand000111,openmm,641.1067798306171,AB,MP,P,M,MP_AB,M_P,-50.33855716799917,-50.33855716799917,2435.4045439929314,-58.44690302675648,-58.44690302675648,1812.3714209983532,-50.33855716748565,-50271.26795455284 kJ/mol
Binding_donor1_row51_cand000112,openmm,-234.8916295620678,AB,MP,P,M,MP_AB,M_P,-43.56870812432666,-43.56870812432666,2055.369990225698,-59.71835777293326,-59.71835777293326,1994.169461499157,-43.56870812447727,-56383.69336449954 kJ/mol
Binding_donor1_row52_cand000113,openmm,-136.00558183131986,AB,MP,P,M,MP_AB,M_P,-27.24850612305619,-27.24850612305619,1791.1657403997917,-57.3129613654786,-57.3129613654786,1952.9050143311615,-27.248506123279583,-56465.70027129939 kJ/mol
Binding_donor1_row53_cand000114,openmm,4.321933192133102,AB,MP,P,M,MP_AB,M_P,-43.13106789977727,-43.13106789977727,2059.119725403853,-56.337257904077134,-56.337257904077134,1888.5754282935686,-43.131067899231944,-55038.67166218781 kJ/mol
Binding_donor1_row54_cand000106,openmm,-300.89932735232196,AB,MP,P,M,MP_AB,M_P,-48.91095053344941,-48.91095053344941,1976.1305605945463,-59.410052236181386,-59.410052236181386,1870.559309753461,-48.91095053344091,-57450.28418159685 kJ/mol
Binding_donor1_row55_cand000082,openmm,-119.34241494657958,AB,MP,P,M,MP_AB,M_P,-27.192741933453405,-27.192741933453405,1586.4873099484785,-61.090600492612374,-61.090600492612374,2002.9912941380223,-27.19274193361801,-56347.16725182769 kJ/mol
Binding_donor1_row56_cand000107,openmm,18.82711546542498,AB,MP,P,M,MP_AB,M_P,-57.993273237359745,-57.993273237359745,2359.6686029750244,-47.067140345378256,-47.067140345378256,1872.047664483411,-57.99327323748784,-58662.19059142861 kJ/mol
Binding_donor1_row57_cand000010,openmm,-135.10256869417594,AB,MP,P,M,MP_AB,M_P,-56.77731909974088,-56.77731909974088,2297.6739106537307,-52.50989543559902,-52.50989543559902,1964.2391902506313,-56.777319099618765,-54950.17956745215 kJ/mol
Binding_donor1_row58_cand000084,openmm,-331.1752079032199,AB,MP,P,M,MP_AB,M_P,-47.82940955067539,-47.82940955067539,2135.6845116480035,-59.49520997915464,-59.49520997915464,1981.6887361304473,-47.82940955027357,-59845.55485786974 kJ/mol
Binding_donor1_row59_cand000085,openmm,-116.67274645024706,AB,MP,P,M,MP_AB,M_P,-43.22454566348833,-43.22454566348833,2287.7036513670537,-58.45733895878654,-58.45733895878654,1891.519263507379,-43.22454566372585,-59053.7180423762 kJ/mol
Binding_donor1_row5_cand000324,openmm,-221.60014379078302,AB,MP,P,M,MP_AB,M_P,-54.17728243526582,-54.17728243526582,2080.9832399900374,-49.36154382129429,-49.36154382129429,1882.1951561378646,-54.17728243498681,-56891.8074562328 kJ/mol
Binding_donor1_row60_cand000086,openmm,-268.86735810804197,AB,MP,P,M,MP_AB,M_P,-39.79175369911462,-39.79175369911462,1855.4065473561002,-64.67833285086213,-64.67833285086213,1996.8271635568854,-39.79175369890231,-54454.53268686432 kJ/mol
Binding_donor1_row63_cand000098,openmm,-286.85749403392504,AB,MP,P,M,MP_AB,M_P,-33.93878319322204,-33.93878319322204,1949.4067617056724,-60.77093284846903,-60.77093284846903,1977.587212388261,-33.93878319323258,-56203.68973531156 kJ/mol
Binding_donor1_row64_cand000090,openmm,23.15123637245634,AB,MP,P,M,MP_AB,M_P,-36.37404774677679,-36.37404774677679,1665.5931482001733,-61.60359933733401,-61.60359933733401,2018.2237056054262,-36.37404774638509,-52778.171743804574 kJ/mol
