TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10014_cand000440,rosetta_sidechain,4862.81855587529,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,0.044307385888714634
Non-binding_donor1_row1061_cand000207,rosetta_sidechain,1293.9885234341302,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.06403033477538145,-0.06403033477538145,34.384498882973304,5.229594535194337e-12
Non-binding_donor1_row10289_cand000095,rosetta_sidechain,5681.754869307051,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,4896.62478558951,4896.62478558951,331.2268556282696,-3.637978807091713e-12
Non-binding_donor1_row11165_cand000063,rosetta_sidechain,23198.650562011833,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,6.912159733474255e-11
Non-binding_donor1_row10984_cand000304,rosetta_sidechain,12878.003971211843,AB,MP,P,M,MP_AB,M_P,11983.113352499464,11983.113352499464,1516.0124196146135,0.0,0.0,0.0,11983.113352499691
Non-binding_donor1_row1046_cand000525,rosetta_sidechain,45778.117368440966,AB,MP,P,M,MP_AB,M_P,45082.05372435794,45082.05372435794,2619.222566513842,531.1318357570115,531.1318357570115,597.0202548876829,45082.053724358055
Non-binding_donor1_row110_cand000024,rosetta_sidechain,90161.0560286062,AB,MP,P,M,MP_AB,M_P,86058.85219656024,86058.85219656024,3906.839074789299,2.6434812262419634,2.6434812262419634,234.2728460526225,86058.85219656036
Non-binding_donor1_row11521_cand000315,rosetta_sidechain,5521.453638044649,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,5702.964795759455,5702.964795759455,626.0656131773708,0.015317625925490574
Non-binding_donor1_row11458_cand000550,rosetta_sidechain,30294.784587340728,AB,MP,P,M,MP_AB,M_P,7039.452213241679,7039.452213241679,1333.786013259219,23426.555433652367,23426.555433652367,1733.4201491052147,7039.452213241806
Non-binding_donor1_row11479_cand000404,rosetta_sidechain,-151.4516768415127,AB,MP,P,M,MP_AB,M_P,-1.455737825583327,-1.455737825583327,299.13087124560576,-43.21791814272757,-43.21791814272757,2107.0169589637303,-1.4557378257237872
Non-binding_donor1_row11715_cand000234,rosetta_sidechain,-325.56585569602515,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,0.2328271477165913
Non-binding_donor1_row11528_cand000221,rosetta_sidechain,52024.8986352306,AB,MP,P,M,MP_AB,M_P,13688.990389926294,13688.990389926294,1176.7567003613194,36206.470473108064,36206.470473108064,1852.3828381186993,13688.990389926541
Non-binding_donor1_row11604_cand000515,rosetta_sidechain,15737.339900841107,AB,MP,P,M,MP_AB,M_P,-0.11432020748179639,-0.11432020748179639,211.8061689480049,14350.970099010978,14350.970099010978,1415.046123042179,-0.11432020731808734
Non-binding_donor1_row11844_cand000571,rosetta_sidechain,197.63104184153818,AB,MP,P,M,MP_AB,M_P,3.984723662142642e-10,3.984723662142642e-10,0.0,0.0,0.0,0.0,5.7696070143720135e-12
Non-binding_donor1_row12047_cand000448,rosetta_sidechain,119.48447653150942,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,2.5437429940211587e-12
Non-binding_donor1_row12043_cand000496,rosetta_sidechain,156.60478602630957,AB,MP,P,M,MP_AB,M_P,0.24656579425541736,0.24656579425541736,41.09171387117962,0.0,0.0,0.0,0.24656579421858282
Non-binding_donor1_row12041_cand000236,rosetta_sidechain,-35.81705436216079,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-1.1084383689652881,-1.1084383689652881,183.54344732298676,1.2931877790833823e-12
Non-binding_donor1_row12260_cand000346,rosetta_sidechain,908.1260381392725,AB,MP,P,M,MP_AB,M_P,497.685567039213,497.685567039213,1249.2401155983794,-38.36352335536935,-38.36352335536935,2123.3147038925126,497.6855670391335
Non-binding_donor1_row12257_cand000519,rosetta_sidechain,3095.481947836945,AB,MP,P,M,MP_AB,M_P,-0.62561866395572,-0.62561866395572,760.8439483951431,-47.507585296245395,-47.507585296245395,2068.630970854276,-0.6256186639516272
Non-binding_donor1_row12286_cand000280,rosetta_sidechain,5009.016956606602,AB,MP,P,M,MP_AB,M_P,-0.8804010213707443,-0.8804010213707443,86.5826658698418,5015.786707069442,5015.786707069442,1151.9869798599966,-0.8804010215289964
Non-binding_donor1_row12299_cand000412,rosetta_sidechain,-243.70395549695303,AB,MP,P,M,MP_AB,M_P,-7.56200363719833,-7.56200363719833,874.5915780896311,-46.258893218087266,-46.258893218087266,2105.7639444301194,-7.562003637493433
Non-binding_donor1_row12371_cand000198,rosetta_sidechain,-348.4054250642523,AB,MP,P,M,MP_AB,M_P,-3.240781927419164,-3.240781927419164,549.423722165377,-43.7219682125163,-43.7219682125163,2132.5507923685946,-3.2407819272356733
Non-binding_donor1_row12981_cand000573,rosetta_sidechain,3748.3359741420386,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,3797.117033785047,3797.117033785047,994.8688490957177,-1.01106252259342e-07
Non-binding_donor1_row13470_cand000242,rosetta_sidechain,1626.894612245262,AB,MP,P,M,MP_AB,M_P,0.0656111125094867,0.0656111125094867,152.80152815911453,-1.8074047995332307,-1.8074047995332307,306.4567472760024,0.06561111246264772
Non-binding_donor1_row13000_cand000262,rosetta_sidechain,-58.903042186135835,AB,MP,P,M,MP_AB,M_P,-4.556695897780841,-4.556695897780841,360.51036991215636,-16.88200002586447,-16.88200002586447,1580.3847778544086,-4.55669589751848
Non-binding_donor1_row1400_cand000041,rosetta_sidechain,2485.434601642541,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,2043.9928276460187,2043.9928276460187,634.3974116614093,-5.002220859751105e-12
Non-binding_donor1_row13411_cand000320,rosetta_sidechain,-116.47244766907393,AB,MP,P,M,MP_AB,M_P,-12.418451946937708,-12.418451946937708,902.086184189356,-42.46333573161964,-42.46333573161964,2104.8190852292414,-12.418451946678204
Non-binding_donor1_row13787_cand000148,rosetta_sidechain,11417.02964901512,AB,MP,P,M,MP_AB,M_P,2826.345816964029,2826.345816964029,609.5497098491077,0.0,0.0,0.0,2826.345816963767
Non-binding_donor1_row14210_cand000472,rosetta_sidechain,11473.765503136508,AB,MP,P,M,MP_AB,M_P,9216.775734873216,9216.775734873216,619.4346962270428,25.459898635161636,25.459898635161636,447.00722763895146,9216.775734917714
Non-binding_donor1_row14110_cand000370,rosetta_sidechain,4249.346939277158,AB,MP,P,M,MP_AB,M_P,1134.2869691547012,1134.2869691547012,433.0237815412939,-40.54787563058042,-40.54787563058042,2078.331619435125,1134.2869691553387
